HL73-650     B.Horeni - J
   1.0000000    0.0000000
   0.9749541    0.0060816
   0.9500189    0.0125750
   0.9333488    0.0172260
   0.9167060    0.0219759
   0.9000400    0.0266499
   0.8669238    0.0352236
   0.8335854    0.0429106
   0.8000747    0.0497999
   0.7668249    0.0559348
   0.7334884    0.0615838
   0.7001004    0.0669498
   0.6668352    0.0721307
   0.6335194    0.0769437
   0.6001216    0.0810998
   0.5668625    0.0843457
   0.5335231    0.0867107
   0.5001324    0.0882498
   0.4668015    0.0890128
   0.4334646    0.0890488
   0.4001326    0.0883998
   0.3667586    0.0870969
   0.3334177    0.0851479
   0.3001238    0.0825498
   0.2834455    0.0810098
   0.2667780    0.0793528
   0.2501164    0.0776248
   0.2334238    0.0758389
   0.2167489    0.0739049
   0.2001075    0.0716998
   0.1833696    0.0690999
   0.1666942    0.0661180
   0.1500942    0.0627749
   0.1333736    0.0590509
   0.1167106    0.0550509
   0.1000763    0.0508499
   0.0916860    0.0486615
   0.0833365    0.0463660
   0.0750658    0.0438874
   0.0667057    0.0411049
   0.0583942    0.0381004
   0.0500524    0.0349249
   0.0414283    0.0315109
   0.0329898    0.0278845
   0.0250359    0.0239624
   0.0209735    0.0216505
   0.0168876    0.0190497
   0.0125240    0.0159812
   0.0061483    0.0108988
   0.0011740    0.0053302
   0.0000000    0.0000000
   0.0046798   -0.0048010
   0.0124880   -0.0080187
   0.0168305   -0.0090312
   0.0209436   -0.0096264
   0.0249849   -0.0100375
   0.0331667   -0.0108748
   0.0415445   -0.0116413
   0.0499819   -0.0120750
   0.0583490   -0.0120005
   0.0666716   -0.0115940
   0.0749833   -0.0111125
   0.0833099   -0.0107550
   0.0916473   -0.0104715
   0.0999848   -0.0101500
   0.1166743   -0.0091320
   0.1333374   -0.0077460
   0.1499907   -0.0062250
   0.1666488   -0.0047680
   0.1833168   -0.0034460
   0.1999966   -0.0023000
   0.2166650   -0.0013350
   0.2333374   -0.0004160
   0.2343685   -0.0003516
   0.2500009    0.0006250
   0.2666718    0.0018980
   0.2833369    0.0032700
   0.3000068    0.0045500
   0.3333256    0.0064270
   0.3666757    0.0078260
   0.4000141    0.0094000
   0.4333735    0.0116419
   0.4667036    0.0143729
   0.5000259    0.0172500
   0.5333379    0.0199570
   0.5666724    0.0222980
   0.6000361    0.0240999
   0.6333559    0.0252430
   0.6666947    0.0258150
   0.7000389    0.0259499
   0.7333766    0.0257359
   0.7667076    0.0250689
   0.8000357    0.0237999
   0.8335046    0.0217237
   0.8668677    0.0184767
   0.9000205    0.0136500
   0.9166788    0.0105590
   0.9333191    0.0073900
   0.9500069    0.0045750
   0.9665917    0.0024711
   0.9832625    0.0009931
   1.0000000    0.0000000
