HL80-133   B.Horeni - J
   1.0000000    0.0005000
   0.9000000    0.0188000
   0.8000000    0.0371000
   0.7000000    0.0554000
   0.6000000    0.0737000
   0.5000000    0.0884000
   0.4000000    0.0966000
   0.3000000    0.0985000
   0.2500000    0.0963000
   0.2000000    0.0910000
   0.1500000    0.0828000
   0.1000000    0.0686000
   0.0750000    0.0600000
   0.0500000    0.0476000
   0.0250000    0.0318000
   0.0125000    0.0202000
   0.0000000    0.0000000
   0.0125000   -0.0138000
   0.0250000   -0.0180000
   0.0500000   -0.0230000
   0.0750000   -0.0268000
   0.1000000   -0.0297000
   0.1500000   -0.0330000
   0.2000000   -0.0343000
   0.2500000   -0.0352000
   0.3000000   -0.0355000
   0.4000000   -0.0352000
   0.5000000   -0.0345000
   0.6000000   -0.0301000
   0.7000000   -0.0229000
   0.8000000   -0.0153000
   0.9000000   -0.0076000
   1.0000000   -0.0005000
