AG46ct  -02f rot
   1.0000000    0.0003965
   0.9941691    0.0009145
   0.9823353    0.0019614
   0.9689275    0.0031259
   0.9552418    0.0042915
   0.9414760    0.0054411
   0.9276732    0.0065707
   0.9138544    0.0076793
   0.9000216    0.0087639
   0.8861878    0.0098276
   0.8723490    0.0108692
   0.8585122    0.0118858
   0.8446793    0.0128815
   0.8308415    0.0138561
   0.8170096    0.0148067
   0.8031718    0.0157363
   0.7893419    0.0166440
   0.7755080    0.0175306
   0.7616762    0.0183952
   0.7478483    0.0192378
   0.7340264    0.0200604
   0.7202055    0.0208601
   0.7092396    0.0214807
   0.7043376    0.0217544
   0.7018876    0.0218932
   0.6991227    0.0221381
   0.6935978    0.0226330
   0.6794440    0.0238867
   0.6653103    0.0251164
   0.6580444    0.0257398
   0.6477456    0.0266153
   0.6370987    0.0275079
   0.6230230    0.0286686
   0.6111221    0.0296345
   0.5949454    0.0309240
   0.5809736    0.0320166
   0.5670318    0.0330853
   0.5559589    0.0339210
   0.5470070    0.0345870
   0.5389931    0.0351777
   0.5251113    0.0361833
   0.5112575    0.0371689
   0.4973976    0.0381346
   0.4835328    0.0390702
   0.4696729    0.0399628
   0.4558260    0.0408115
   0.4419701    0.0416181
   0.4281192    0.0423767
   0.4142723    0.0430884
   0.4004183    0.0437500
   0.3865674    0.0443606
   0.3727224    0.0449162
   0.3588824    0.0454169
   0.3450404    0.0458595
   0.3312054    0.0462401
   0.3173803    0.0465547
   0.3035562    0.0468023
   0.2897461    0.0469759
   0.2759460    0.0470705
   0.2621508    0.0470851
   0.2483716    0.0470117
   0.2346134    0.0468443
   0.2208672    0.0465789
   0.2071479    0.0462055
   0.1934575    0.0457180
   0.1797952    0.0451076
   0.1661848    0.0443631
   0.1526153    0.0434726
   0.1391118    0.0424231
   0.1256842    0.0411986
   0.1123446    0.0397760
   0.0991349    0.0381354
   0.0860701    0.0362387
   0.0732152    0.0340470
   0.0606162    0.0315022
   0.0484011    0.0285372
   0.0367668    0.0251020
   0.0261044    0.0212025
   0.0171149    0.0170575
   0.0104945    0.0131537
   0.0061434    0.0098631
   0.0033874    0.0071800
   0.0016477    0.0049425
   0.0006040    0.0030258
   0.0000925    0.0013830
   0.0000000    0.0000000
   0.0002966   -0.0012941
   0.0011521   -0.0026204
   0.0027267   -0.0038980
   0.0050823   -0.0051548
   0.0085269   -0.0064859
   0.0137245   -0.0079707
   0.0214991   -0.0095813
   0.0317807   -0.0111147
   0.0436284   -0.0123787
   0.0562582   -0.0133379
   0.0692612   -0.0140363
   0.0824872   -0.0145327
   0.0958622   -0.0148752
   0.1093383   -0.0150906
   0.1228894   -0.0152042
   0.1364996   -0.0152307
   0.1501568   -0.0151873
   0.1638450   -0.0150868
   0.1775702   -0.0149394
   0.1913164   -0.0147540
   0.2050896   -0.0145356
   0.2188949   -0.0142912
   0.2327221   -0.0140258
   0.2465684   -0.0137454
   0.2604447   -0.0134550
   0.2743479   -0.0131597
   0.2882772   -0.0128583
   0.3022305   -0.0125529
   0.3162078   -0.0122456
   0.3301970   -0.0119363
   0.3442023   -0.0116259
   0.3582196   -0.0113156
   0.3722448   -0.0110123
   0.3862871   -0.0107100
   0.4003484   -0.0104066
   0.4144187   -0.0101103
   0.4284809   -0.0098160
   0.4425342   -0.0095297
   0.4565725   -0.0092444
   0.4706017   -0.0089611
   0.4846160   -0.0086747
   0.4986133   -0.0083864
   0.5126055   -0.0081011
   0.5265798   -0.0078147
   0.5405420   -0.0075274
   0.5480832   -0.0073729
   0.5576594   -0.0071741
   0.5679386   -0.0069615
   0.5813478   -0.0066860
   0.5947471   -0.0064084
   0.6010912   -0.0062785
   0.6083663   -0.0061290
   0.6220276   -0.0058465
   0.6356899   -0.0055661
   0.6456430   -0.0053614
   0.6547962   -0.0051744
   0.6631414   -0.0050032
   0.6768816   -0.0047238
   0.6906249   -0.0044434
   0.6967930   -0.0043194
   0.6999891   -0.0042565
   0.7020291   -0.0042172
   0.7061092   -0.0041335
   0.7184484   -0.0038856
   0.7323867   -0.0036083
   0.7463159   -0.0033299
   0.7602302   -0.0030576
   0.7741305   -0.0027852
   0.7880107   -0.0025158
   0.8018810   -0.0022495
   0.8157492   -0.0019861
   0.8296185   -0.0017317
   0.8434877   -0.0014963
   0.8573640   -0.0012729
   0.8712402   -0.0010706
   0.8851164   -0.0008832
   0.8989987   -0.0007248
   0.9128839   -0.0005895
   0.9267681   -0.0004771
   0.9406563   -0.0003967
   0.9545465   -0.0003483
   0.9684116   -0.0003290
   0.9820298   -0.0003465
   0.9940549   -0.0003705
   1.0000000   -0.0003965
