AG47ct  -02f rot
   1.0000000    0.0003465
   0.9941521    0.0007598
   0.9823022    0.0015926
   0.9688893    0.0025009
   0.9551555    0.0034224
   0.9413676    0.0043319
   0.9275597    0.0052295
   0.9137468    0.0061070
   0.8999309    0.0069615
   0.8861351    0.0078020
   0.8723431    0.0086205
   0.8585572    0.0094140
   0.8447743    0.0101985
   0.8309944    0.0109610
   0.8172164    0.0117035
   0.8034455    0.0124300
   0.7896766    0.0131375
   0.7759136    0.0138310
   0.7621556    0.0145035
   0.7483987    0.0151600
   0.7346527    0.0158015
   0.7209077    0.0164220
   0.7087157    0.0169589
   0.7037537    0.0171728
   0.7012727    0.0172778
   0.6989437    0.0174588
   0.6942828    0.0178226
   0.6802540    0.0188882
   0.6662432    0.0199388
   0.6522554    0.0209644
   0.6382785    0.0219700
   0.6243217    0.0229516
   0.6125148    0.0237673
   0.6050109    0.0242763
   0.6019159    0.0244855
   0.5951900    0.0249332
   0.5826201    0.0257563
   0.5687792    0.0266408
   0.5577883    0.0273242
   0.5488984    0.0278667
   0.5409374    0.0283439
   0.5271475    0.0291484
   0.5133786    0.0299269
   0.4996006    0.0306754
   0.4858157    0.0313969
   0.4720397    0.0320864
   0.4582758    0.0327439
   0.4445068    0.0333714
   0.4307418    0.0339649
   0.4169818    0.0345234
   0.4032198    0.0350459
   0.3894597    0.0355304
   0.3757077    0.0359729
   0.3619596    0.0363764
   0.3482115    0.0367369
   0.3344714    0.0370503
   0.3207393    0.0373178
   0.3070111    0.0375343
   0.2932940    0.0377008
   0.2795878    0.0378122
   0.2658836    0.0378667
   0.2521933    0.0378621
   0.2385211    0.0377966
   0.2248558    0.0376630
   0.2112125    0.0374595
   0.1975921    0.0371799
   0.1839918    0.0368143
   0.1704294    0.0363577
   0.1568989    0.0357981
   0.1434164    0.0351244
   0.1299939    0.0343208
   0.1166343    0.0333701
   0.1033746    0.0322493
   0.0902238    0.0309316
   0.0772360    0.0293847
   0.0644401    0.0275608
   0.0519450    0.0254007
   0.0399218    0.0228225
   0.0287474    0.0197869
   0.0191679    0.0164026
   0.0119494    0.0130355
   0.0070791    0.0100403
   0.0039240    0.0074726
   0.0019051    0.0052243
   0.0006993    0.0032208
   0.0000986    0.0014740
   0.0000000    0.0000000
   0.0003685   -0.0013532
   0.0013520   -0.0026686
   0.0030385   -0.0038773
   0.0054741   -0.0050533
   0.0090027   -0.0062777
   0.0142832   -0.0076108
   0.0221448   -0.0090070
   0.0324885   -0.0102841
   0.0443723   -0.0112829
   0.0570122   -0.0120009
   0.0700142   -0.0125011
   0.0832283   -0.0128324
   0.0965905   -0.0130357
   0.1100486   -0.0131431
   0.1235819   -0.0131795
   0.1371721   -0.0131599
   0.1508124   -0.0130953
   0.1644896   -0.0129928
   0.1782139   -0.0128612
   0.1919622   -0.0127037
   0.2057375   -0.0125242
   0.2195368   -0.0123307
   0.2333512   -0.0121192
   0.2471795   -0.0118977
   0.2610258   -0.0116632
   0.2748872   -0.0114227
   0.2887655   -0.0111743
   0.3026608   -0.0109208
   0.3165712   -0.0106613
   0.3304945   -0.0104009
   0.3444339   -0.0101354
   0.3583872   -0.0098690
   0.3723516   -0.0095985
   0.3863349   -0.0093281
   0.4003453   -0.0090557
   0.4143696   -0.0087833
   0.4283920   -0.0085099
   0.4424103   -0.0082374
   0.4564246   -0.0079660
   0.4704370   -0.0076956
   0.4844423   -0.0074242
   0.4984447   -0.0071558
   0.5124450   -0.0068873
   0.5264484   -0.0066189
   0.5404457   -0.0063525
   0.5480079   -0.0062085
   0.5576142   -0.0060303
   0.5679274   -0.0058344
   0.5813867   -0.0055858
   0.5943581   -0.0053439
   0.6008452   -0.0052245
   0.6034143   -0.0051775
   0.6085514   -0.0050826
   0.6222507   -0.0048320
   0.6359481   -0.0045865
   0.6496314   -0.0043440
   0.6633137   -0.0041064
   0.6769881   -0.0038698
   0.6906544   -0.0036373
   0.6968145   -0.0035367
   0.6999706   -0.0034850
   0.7061298   -0.0033865
   0.7184430   -0.0031844
   0.7323494   -0.0029639
   0.7462457   -0.0027474
   0.7601370   -0.0025390
   0.7740243   -0.0023355
   0.7879137   -0.0021400
   0.8018050   -0.0019516
   0.8157053   -0.0017711
   0.8295976   -0.0015986
   0.8434879   -0.0014332
   0.8573892   -0.0012767
   0.8712785   -0.0011322
   0.8851688   -0.0009918
   0.8990601   -0.0008593
   0.9129424   -0.0007398
   0.9268296   -0.0006324
   0.9407079   -0.0005329
   0.9545832   -0.0004384
   0.9684375   -0.0003599
   0.9820437   -0.0003334
   0.9940599   -0.0003381
   1.0000000   -0.0003465
