cristal  cb85_15_7
   1.0000000    0.0000000
   0.9500000    0.0107143
   0.9000000    0.0214286
   0.8500000    0.0320000
   0.8000000    0.0445714
   0.7500000    0.0571429
   0.7000000    0.0714286
   0.6500000    0.0837143
   0.6000000    0.0945714
   0.5500000    0.1034286
   0.5000000    0.1088571
   0.4500000    0.1122857
   0.4000000    0.1134286
   0.3500000    0.1120000
   0.3000000    0.1088571
   0.2500000    0.1034286
   0.2000000    0.0945714
   0.1500000    0.0820000
   0.1000000    0.0677143
   0.0500000    0.0445714
   0.0100000    0.0160000
   0.0000000    0.0000000
   0.0100000   -0.0105710
   0.0500000   -0.0231430
   0.1000000   -0.0322860
   0.1500000   -0.0357140
   0.2000000   -0.0374290
   0.2500000   -0.0391430
   0.3000000   -0.0420000
   0.3500000   -0.0428570
   0.4000000   -0.0434290
   0.4500000   -0.0428570
   0.5000000   -0.0420000
   0.5500000   -0.0391429
   0.6000000   -0.0374286
   0.6500000   -0.0328571
   0.7000000   -0.0285714
   0.7500000   -0.0214286
   0.8000000   -0.0142857
   0.8500000   -0.0051429
   0.9000000    0.0008571
   0.9500000    0.0031429
   1.0000000    0.0000000
