DS 21 coords   (c)Joe Wurts
   1.0000000    0.0000000
   0.9996570    0.0000260
   0.9991150    0.0001040
   0.9982280    0.0002310
   0.9970040    0.0004060
   0.9954480    0.0006289
   0.9935649    0.0008979
   0.9913609    0.0012139
   0.9888389    0.0015749
   0.9860039    0.0019788
   0.9828618    0.0024268
   0.9794158    0.0029158
   0.9756688    0.0034447
   0.9716267    0.0040107
   0.9672927    0.0046146
   0.9626706    0.0052536
   0.9577646    0.0059285
   0.9525785    0.0066354
   0.9471155    0.0073754
   0.9413804    0.0081463
   0.9353794    0.0089472
   0.9291143    0.0097772
   0.9225922    0.0106331
   0.9158172    0.0115170
   0.9087931    0.0124259
   0.9015270    0.0133568
   0.8940220    0.0143097
   0.8862839    0.0152836
   0.8783178    0.0162745
   0.8701287    0.0172814
   0.8617197    0.0183033
   0.8530956    0.0193382
   0.8442615    0.0203851
   0.8352194    0.0214390
   0.8259673    0.0224999
   0.8164992    0.0235778
   0.8068261    0.0246937
   0.7969730    0.0258596
   0.7869739    0.0270734
   0.7768498    0.0283093
   0.7666017    0.0295432
   0.7562196    0.0307681
   0.7457025    0.0319880
   0.7350594    0.0332018
   0.7242963    0.0344087
   0.7134192    0.0356036
   0.7024281    0.0367864
   0.6913340    0.0379573
   0.6801429    0.0391152
   0.6688588    0.0402560
   0.6574887    0.0413799
   0.6460416    0.0424877
   0.6345215    0.0435746
   0.6229354    0.0446425
   0.6112903    0.0456883
   0.5995942    0.0467132
   0.5878561    0.0477170
   0.5760840    0.0486939
   0.5642839    0.0496437
   0.5524628    0.0505656
   0.5406277    0.0514554
   0.5287856    0.0523113
   0.5169424    0.0531331
   0.5051063    0.0539190
   0.4932822    0.0546669
   0.4814771    0.0553747
   0.4696980    0.0560406
   0.4579499    0.0566644
   0.4462408    0.0572453
   0.4345757    0.0577801
   0.4229596    0.0582680
   0.4114005    0.0587088
   0.3999034    0.0591007
   0.3884743    0.0594425
   0.3771192    0.0597344
   0.3658421    0.0599742
   0.3546511    0.0601621
   0.3435500    0.0602979
   0.3325449    0.0603818
   0.3216418    0.0604107
   0.3108457    0.0603885
   0.3001626    0.0603124
   0.2895975    0.0601822
   0.2791565    0.0599971
   0.2688444    0.0597600
   0.2586673    0.0594688
   0.2486302    0.0591227
   0.2387391    0.0587226
   0.2289971    0.0582684
   0.2194100    0.0577603
   0.2099839    0.0571952
   0.2007219    0.0565771
   0.1916288    0.0559009
   0.1827057    0.0551708
   0.1739587    0.0543867
   0.1653916    0.0535486
   0.1570056    0.0526555
   0.1488055    0.0517113
   0.1407955    0.0507162
   0.1329784    0.0496711
   0.1253564    0.0485760
   0.1179343    0.0474339
   0.1107133    0.0462468
   0.1036982    0.0450157
   0.0968912    0.0437426
   0.0902952    0.0424305
   0.0839151    0.0410784
   0.0777531    0.0396903
   0.0718111    0.0382642
   0.0660921    0.0368052
   0.0605970    0.0353141
   0.0553290    0.0337910
   0.0502890    0.0322409
   0.0454790    0.0306638
   0.0408989    0.0290628
   0.0365509    0.0274417
   0.0324369    0.0258036
   0.0285569    0.0241506
   0.0249139    0.0224875
   0.0215089    0.0208174
   0.0183449    0.0191434
   0.0154219    0.0174693
   0.0127419    0.0157983
   0.0103069    0.0141352
   0.0081189    0.0124822
   0.0061809    0.0108462
   0.0044989    0.0092321
   0.0030799    0.0076391
   0.0019279    0.0060681
   0.0010459    0.0045170
   0.0004310    0.0029870
