Eppler E422 high lift airfoil   tracfoil
   1.0000000    0.0000000
   0.9963293    0.0008571
   0.9858869    0.0037590
   0.9698328    0.0088066
   0.9490375    0.0153204
   0.9236217    0.0225207
   0.8933754    0.0302171
   0.8585484    0.0386501
   0.8197308    0.0478899
   0.7775627    0.0578371
   0.7327140    0.0683222
   0.6858451    0.0791358
   0.6376462    0.0899883
   0.5887674    0.1005702
   0.5398192    0.1105422
   0.4913917    0.1195345
   0.4439952    0.1271976
   0.3981101    0.1331519
   0.3541567    0.1369876
   0.3122353    0.1382349
   0.2722460    0.1367937
   0.2342488    0.1327840
   0.1982434    0.1264259
   0.1644095    0.1181094
   0.1330769    0.1082149
   0.1045454    0.0969825
   0.0791047    0.0847025
   0.0569547    0.0716251
   0.0382851    0.0580604
   0.0232357    0.0443286
   0.0118961    0.0307696
   0.0043262    0.0177936
   0.0033390    0.0154908
   0.0024518    0.0131480
   0.0016766    0.0107664
   0.0010275    0.0083499
   0.0005154    0.0059005
   0.0002835    0.0044343
   0.0001137    0.0029601
   0.0000158    0.0014810
   0.0000000    0.0000000
   0.0002322   -0.0028698
   0.0005736   -0.0046296
   0.0010749   -0.0062492
   0.0013855   -0.0069890
   0.0017560   -0.0076887
   0.0021765   -0.0083184
   0.0026870   -0.0088980
   0.0032974   -0.0094575
   0.0039978   -0.0099970
   0.0056087   -0.0110357
   0.0074895   -0.0120343
   0.0107706   -0.0134517
   0.0165622   -0.0153972
   0.0335552   -0.0189940
   0.0555871   -0.0212369
   0.0824878   -0.0217559
   0.1143170   -0.0203510
   0.1512148   -0.0170222
   0.1933914   -0.0121493
   0.2406375   -0.0064824
   0.2923135   -0.0006920
   0.3476798    0.0047712
   0.4059367    0.0093867
   0.4658748    0.0125935
   0.5263041    0.0143007
   0.5858843    0.0148571
   0.6439452    0.0144524
   0.6996268    0.0131258
   0.7520089    0.0111067
   0.8003912    0.0087844
   0.8442734    0.0064486
   0.8832355    0.0043090
   0.9168771    0.0026152
   0.9451082    0.0016372
   0.9680187    0.0012151
   0.9853192    0.0008486
   0.9962497    0.0003071
   1.0000000    0.0000000
