Eiffel 371  from kurisawa Mod
   1.0000000    0.0000000
   0.9867100    0.0035100
   0.9736200    0.0068600
   0.9607200    0.0100800
   0.9480100    0.0131800
   0.9354900    0.0161600
   0.9231500    0.0190400
   0.9109900    0.0218200
   0.8990000    0.0245300
   0.8871900    0.0272100
   0.8755400    0.0298400
   0.8640600    0.0324000
   0.8527400    0.0348900
   0.8415800    0.0373100
   0.8305800    0.0396600
   0.8197300    0.0419500
   0.8090300    0.0441600
   0.7984800    0.0463000
   0.7880800    0.0483000
   0.7778100    0.0502400
   0.7676900    0.0521100
   0.7577000    0.0539200
   0.7478500    0.0556800
   0.7381400    0.0573800
   0.7285500    0.0590300
   0.7190900    0.0606400
   0.7097600    0.0621900
   0.7005500    0.0637100
   0.6914600    0.0652100
   0.6824900    0.0666800
   0.6736300    0.0681000
   0.6649000    0.0694900
   0.6562700    0.0708500
   0.6477600    0.0721700
   0.6393500    0.0734600
   0.6310600    0.0747200
   0.6228700    0.0759500
   0.6147800    0.0771500
   0.6068000    0.0783200
   0.5989100    0.0794600
   0.5911200    0.0805900
   0.5834400    0.0816900
   0.5758400    0.0827700
   0.5683400    0.0838200
   0.5609400    0.0848500
   0.5536200    0.0858500
   0.5463900    0.0868200
   0.5392500    0.0877700
   0.5322000    0.0886900
   0.5252300    0.0895800
   0.5183500    0.0904500
   0.5115500    0.0913000
   0.5048300    0.0921200
   0.4981900    0.0929200
   0.4916300    0.0937000
   0.4851400    0.0944600
   0.4787400    0.0952000
   0.4724000    0.0959100
   0.4661400    0.0965900
   0.4599600    0.0972500
   0.4538400    0.0978900
   0.4478000    0.0984900
   0.4418200    0.0990800
   0.4359100    0.0996400
   0.4300700    0.1001700
   0.4243000    0.1006800
   0.4185900    0.1011700
   0.4129500    0.1016300
   0.4073700    0.1020600
   0.4018500    0.1024700
   0.3963900    0.1028200
   0.3909900    0.1031400
   0.3856600    0.1034300
   0.3803800    0.1037000
   0.3751600    0.1039400
   0.3700000    0.1041600
   0.3648900    0.1043600
   0.3598400    0.1045400
   0.3548400    0.1047000
   0.3499000    0.1048400
   0.3450100    0.1049600
   0.3401700    0.1050600
   0.3353800    0.1051400
   0.3306500    0.1052000
   0.3259600    0.1052500
   0.3213300    0.1052800
   0.3167400    0.1052900
   0.3122000    0.1052900
   0.3077100    0.1052700
   0.3032600    0.1052300
   0.2988700    0.1051900
   0.2945100    0.1051600
   0.2902000    0.1051000
   0.2859400    0.1050400
   0.2817200    0.1049600
   0.2775400    0.1048700
   0.2734000    0.1047600
   0.2693100    0.1046400
   0.2652600    0.1045100
   0.2612500    0.1043600
   0.2572800    0.1042000
   0.2533400    0.1040300
   0.2494500    0.1038400
   0.2456000    0.1036400
   0.2417800    0.1034300
   0.2380000    0.1032000
   0.2342600    0.1029700
   0.2305600    0.1027100
   0.2268900    0.1024500
   0.2232600    0.1021700
   0.2196600    0.1018800
   0.2161000    0.1015800
   0.2125700    0.1012600
   0.2090700    0.1009300
   0.2056100    0.1005900
   0.2021800    0.1002300
   0.1987900    0.0998600
   0.1954200    0.0994700
   0.1920900    0.0990700
   0.1887900    0.0986600
   0.1855200    0.0982400
   0.1822800    0.0978000
   0.1790800    0.0973500
   0.1759000    0.0968900
   0.1727500    0.0964200
   0.1696300    0.0959300
   0.1665400    0.0954400
   0.1634800    0.0949300
   0.1604400    0.0944100
   0.1574300    0.0938800
   0.1544500    0.0933400
   0.1515000    0.0927900
   0.1485800    0.0922200
   0.1456800    0.0916300
   0.1428000    0.0910300
   0.1399600    0.0904200
   0.1371300    0.0897900
   0.1343400    0.0891600
   0.1315700    0.0885200
   0.1288200    0.0878700
   0.1261000    0.0872000
   0.1234000    0.0865300
   0.1207200    0.0858500
   0.1180700    0.0851500
   0.1154400    0.0844500
   0.1128300    0.0837400
   0.1102500    0.0830200
   0.1076900    0.0822900
   0.1051500    0.0815500
   0.1026400    0.0808000
   0.1001400    0.0800400
   0.0976700    0.0793100
   0.0952100    0.0785700
   0.0927800    0.0778100
   0.0903700    0.0770400
   0.0879800    0.0762500
   0.0856100    0.0754500
   0.0832600    0.0746200
   0.0809300    0.0737800
   0.0786200    0.0729200
   0.0763300    0.0720300
   0.0740500    0.0711000
   0.0718000    0.0701300
   0.0695600    0.0691200
   0.0673500    0.0681000
   0.0651500    0.0670400
   0.0629700    0.0659700
   0.0608100    0.0648600
   0.0586600    0.0637300
   0.0565300    0.0625700
   0.0544200    0.0613900
   0.0523300    0.0601900
   0.0502600    0.0589600
   0.0482000    0.0577200
   0.0461500    0.0564600
   0.0441300    0.0551700
   0.0421200    0.0538500
   0.0401200    0.0525000
   0.0381500    0.0511200
   0.0361800    0.0497000
   0.0342400    0.0482500
   0.0323100    0.0467500
   0.0303900    0.0452000
   0.0284900    0.0436100
   0.0266000    0.0419600
   0.0247300    0.0402400
   0.0228700    0.0384000
   0.0210300    0.0365100
   0.0192000    0.0345400
   0.0173900    0.0325100
   0.0155900    0.0303900
   0.0138000    0.0281800
   0.0120300    0.0258800
   0.0102700    0.0234600
   0.0085300    0.0209100
   0.0068000    0.0181900
   0.0050800    0.0152200
   0.0033700    0.0119000
   0.0016800    0.0079300
   0.0005600    0.0042900
   0.0000000    0.0000000
   0.0005600   -0.0016600
   0.0016800   -0.0029700
   0.0033700   -0.0043500
   0.0050800   -0.0054600
   0.0068000   -0.0064400
