HG 42 (c)Slobodan Midic  Hang glider 15%
   1.0000000    0.0009965
   0.9945732    0.0006883
   0.9815337    0.0003218
   0.9666672    0.0001092
   0.9504988    0.0001256
   0.9335673    0.0004359
   0.9162529    0.0010782
   0.8987425    0.0020685
   0.8811281    0.0034018
   0.8634556    0.0050821
   0.8457162    0.0071043
   0.8279137    0.0094585
   0.8100262    0.0121438
   0.7920257    0.0151450
   0.7739002    0.0184452
   0.7556227    0.0220313
   0.7371752    0.0258815
   0.7185337    0.0299716
   0.6996972    0.0342647
   0.6806747    0.0387369
   0.6614562    0.0433530
   0.6420927    0.0480650
   0.6226522    0.0528341
   0.6032717    0.0575822
   0.5840802    0.0622283
   0.5651267    0.0667154
   0.5463972    0.0710006
   0.5278767    0.0750587
   0.5095481    0.0788589
   0.4913786    0.0823790
   0.4733442    0.0856042
   0.4554147    0.0885174
   0.4375642    0.0911137
   0.4197807    0.0933809
   0.4020423    0.0953131
   0.3843398    0.0969064
   0.3666664    0.0981537
   0.3490080    0.0990530
   0.3313706    0.0996063
   0.3137712    0.0998106
   0.2962298    0.0996599
   0.2787544    0.0991473
   0.2613521    0.0982676
   0.2440267    0.0970160
   0.2267934    0.0953934
   0.2096781    0.0933998
   0.1927258    0.0910382
   0.1759974    0.0883127
   0.1595771    0.0852272
   0.1435458    0.0817777
   0.1279965    0.0779732
   0.1130352    0.0738288
   0.0988039    0.0693894
   0.0854705    0.0647180
   0.0732141    0.0599077
   0.0621677    0.0550315
   0.0523782    0.0501563
   0.0438147    0.0453771
   0.0364152    0.0408090
   0.0300805    0.0365389
   0.0246939    0.0325918
   0.0201212    0.0289448
   0.0162194    0.0255827
   0.0128857    0.0224717
   0.0100559    0.0195437
   0.0076601    0.0167577
   0.0056233    0.0141077
   0.0038954    0.0115807
   0.0024726    0.0091458
   0.0013717    0.0067698
   0.0006018    0.0044449
   0.0001499    0.0021779
   0.0000000    0.0000000
   0.0001441   -0.0021689
   0.0006091   -0.0043818
   0.0014282   -0.0065967
   0.0026252   -0.0087706
   0.0042053   -0.0108685
   0.0061573   -0.0128803
   0.0084743   -0.0148082
   0.0111742   -0.0166520
   0.0142952   -0.0184138
   0.0178841   -0.0201226
   0.0220071   -0.0218224
   0.0267680   -0.0235421
   0.0323128   -0.0252989
   0.0388327   -0.0271116
   0.0465575   -0.0289992
   0.0557452   -0.0309688
   0.0666139   -0.0329953
   0.0792816   -0.0350197
   0.0936791   -0.0369771
   0.1095767   -0.0388024
   0.1266441   -0.0404647
   0.1445735   -0.0419540
   0.1630940   -0.0432792
   0.1820303   -0.0444554
   0.2012377   -0.0454987
   0.2206361   -0.0464229
   0.2401454   -0.0472381
   0.2597317   -0.0479493
   0.2793451   -0.0485625
   0.2989714   -0.0490718
   0.3185857   -0.0494810
   0.3381751   -0.0497792
   0.3577444   -0.0499675
   0.3772797   -0.0500387
   0.3968050   -0.0499870
   0.4163183   -0.0498142
   0.4358426   -0.0495155
   0.4553839   -0.0490997
   0.4749392   -0.0485660
   0.4945225   -0.0479193
   0.5141138   -0.0471656
   0.5337131   -0.0463028
   0.5533074   -0.0453391
   0.5728766   -0.0442674
   0.5924319   -0.0430877
   0.6119532   -0.0417980
   0.6314584   -0.0403883
   0.6509587   -0.0388636
   0.6704729   -0.0372149
   0.6900432   -0.0354482
   0.7096904   -0.0335705
   0.7294537   -0.0315958
   0.7493249   -0.0295491
   0.7693031   -0.0274444
   0.7893463   -0.0253067
   0.8094305   -0.0231400
   0.8295177   -0.0209573
   0.8496000   -0.0187476
   0.8696602   -0.0165269
   0.8896264   -0.0142982
   0.9094256   -0.0120496
   0.9289108   -0.0098169
   0.9477461   -0.0076142
   0.9653884   -0.0055076
   0.9811668   -0.0035591
   0.9945912   -0.0019036
   1.0000000   -0.0009965
