HM1001  NF-Leistungsprofil
   1.0000000    0.0000000
   0.9998800    0.0000120
   0.9997400    0.0000259
   0.9995590    0.0000439
   0.9993160    0.0000688
   0.9989920    0.0001017
   0.9985699    0.0001445
   0.9980529    0.0001973
   0.9974459    0.0002611
   0.9967529    0.0003339
   0.9959798    0.0004176
   0.9951308    0.0005104
   0.9942057    0.0006131
   0.9932027    0.0007267
   0.9921226    0.0008524
   0.9909626    0.0009880
   0.9897225    0.0011355
   0.9884034    0.0012951
   0.9870064    0.0014666
   0.9855293    0.0016501
   0.9839752    0.0018446
   0.9823431    0.0020501
   0.9806330    0.0022665
   0.9788459    0.0024929
   0.9769818    0.0027293
   0.9750407    0.0029726
   0.9730236    0.0032249
   0.9709295    0.0034852
   0.9687584    0.0037535
   0.9665123    0.0040298
   0.9641912    0.0043130
   0.9617940    0.0046052
   0.9593219    0.0049043
   0.9567768    0.0052105
   0.9541586    0.0055246
   0.9514665    0.0058467
   0.9487024    0.0061748
   0.9458672    0.0065108
   0.9429591    0.0068539
   0.9399809    0.0072039
   0.9369308    0.0075618
   0.9338096    0.0079268
   0.9306194    0.0082987
   0.9273593    0.0086786
   0.9240311    0.0090655
   0.9206349    0.0094614
   0.9171708    0.0098632
   0.9136406    0.0102740
   0.9100434    0.0106928
   0.9063802    0.0111196
   0.9026510    0.0115543
   0.8988578    0.0119970
   0.8949987    0.0124478
   0.8910765    0.0129074
   0.8870903    0.0133751
   0.8830420    0.0138517
   0.8789308    0.0143364
   0.8747576    0.0148300
   0.8705244    0.0153295
   0.8662322    0.0158371
   0.8618820    0.0163506
   0.8574737    0.0168712
   0.8530075    0.0173977
   0.8484853    0.0179311
   0.8439071    0.0184726
   0.8392738    0.0190210
   0.8345856    0.0195765
   0.8298433    0.0201379
   0.8250471    0.0207073
   0.8201999    0.0212816
   0.8152996    0.0218620
   0.8103493    0.0224483
   0.8053481    0.0230387
   0.8002988    0.0236350
   0.7952006    0.0242352
   0.7900543    0.0248405
   0.7848611    0.0254498
   0.7796218    0.0260630
   0.7743385    0.0266812
   0.7690113    0.0273025
   0.7636420    0.0279277
   0.7582297    0.0285568
   0.7527764    0.0291880
   0.7472822    0.0298232
   0.7417479    0.0304613
   0.7361736    0.0311024
   0.7305603    0.0317455
   0.7249101    0.0323917
   0.7192238    0.0330407
   0.7135015    0.0336928
   0.7077452    0.0343469
   0.7019549    0.0350039
   0.6961326    0.0356630
   0.6902794    0.0363230
   0.6843951    0.0369850
   0.6784818    0.0376461
   0.6725405    0.0383071
   0.6665702    0.0389661
   0.6605749    0.0396240
   0.6545526    0.0402780
   0.6485063    0.0409280
   0.6424361    0.0415740
   0.6363428    0.0422179
   0.6302265    0.0428599
   0.6240882    0.0434988
   0.6179299    0.0441377
   0.6117516    0.0447737
   0.6055564    0.0454066
   0.5993431    0.0460355
   0.5931148    0.0466594
   0.5868725    0.0472773
   0.5806162    0.0478882
   0.5743480    0.0484941
   0.5680677    0.0490930
   0.5617764    0.0496849
   0.5554752    0.0502697
   0.5491649    0.0508476
   0.5428456    0.0514185
   0.5365194    0.0519814
   0.5301861    0.0525363
   0.5238479    0.0530841
   0.5175056    0.0536230
   0.5111614    0.0541529
   0.5048151    0.0546727
   0.4984689    0.0551826
   0.4921236    0.0556815
   0.4857814    0.0561693
   0.4794402    0.0566472
   0.4731020    0.0571151
   0.4667667    0.0575719
   0.4604365    0.0580178
   0.4541113    0.0584527
   0.4477941    0.0588756
   0.4414849    0.0592864
   0.4351857    0.0596833
   0.4288985    0.0600662
   0.4226233    0.0604371
   0.4163611    0.0607930
   0.4101119    0.0611369
   0.4038787    0.0614668
   0.3976606    0.0617827
   0.3914584    0.0620856
   0.3852732    0.0623725
   0.3791051    0.0626444
   0.3729569    0.0628994
   0.3668278    0.0631373
   0.3607206    0.0633583
   0.3546345    0.0635622
   0.3485734    0.0637502
   0.3425372    0.0639211
   0.3365271    0.0640761
   0.3305440    0.0642141
   0.3245879    0.0643341
   0.3186608    0.0644381
   0.3127617    0.0645241
   0.3068926    0.0645921
   0.3010535    0.0646412
   0.2952465    0.0646712
   0.2894724    0.0646823
   0.2837323    0.0646723
   0.2780273    0.0646434
   0.2723572    0.0645935
   0.2667252    0.0645256
   0.2611312    0.0644377
   0.2555761    0.0643318
   0.2500611    0.0642070
   0.2445861    0.0640631
   0.2391521    0.0638993
   0.2337611    0.0637145
   0.2284111    0.0635087
   0.2231051    0.0632819
   0.2178432    0.0630331
   0.2126262    0.0627633
   0.2074552    0.0624746
   0.2023323    0.0621639
   0.1972573    0.0618342
   0.1922304    0.0614845
   0.1872545    0.0611138
   0.1823275    0.0607231
   0.1774526    0.0603115
   0.1726297    0.0598798
   0.1678598    0.0594272
   0.1631439    0.0589546
   0.1584810    0.0584621
   0.1538742    0.0579485
   0.1493233    0.0574150
   0.1448284    0.0568604
   0.1403906    0.0562859
   0.1360097    0.0556914
   0.1316869    0.0550760
   0.1274231    0.0544415
   0.1232192    0.0537861
   0.1190754    0.0531127
   0.1149946    0.0524213
   0.1109758    0.0517110
   0.1070200    0.0509836
   0.1031282    0.0502373
   0.0993014    0.0494740
   0.0955386    0.0486917
   0.0918409    0.0478915
   0.0882101    0.0470722
   0.0846443    0.0462370
   0.0811466    0.0453838
   0.0777149    0.0445137
   0.0743511    0.0436285
   0.0710554    0.0427264
   0.0678287    0.0418093
   0.0646719    0.0408762
   0.0615852    0.0399292
   0.0585695    0.0389662
   0.0556248    0.0379902
   0.0527521    0.0369992
   0.0499504    0.0359952
   0.0472217    0.0349783
   0.0445650    0.0339484
   0.0419814    0.0329075
   0.0394717    0.0318567
   0.0370360    0.0307948
   0.0346744    0.0297240
   0.0323897    0.0286452
   0.0301800    0.0275585
   0.0280464    0.0264657
   0.0259887    0.0253650
   0.0240071    0.0242594
   0.0221024    0.0231487
   0.0202758    0.0220341
   0.0185262    0.0209165
   0.0168535    0.0197979
   0.0152589    0.0186783
   0.0137432    0.0175598
   0.0123046    0.0164433
   0.0109450    0.0153299
   0.0096633    0.0142204
   0.0084607    0.0131160
   0.0073360    0.0120206
   0.0062904    0.0109372
   0.0053237    0.0098719
   0.0044381    0.0088306
   0.0036334    0.0078173
   0.0029087    0.0068351
   0.0022660    0.0058808
   0.0017024    0.0049516
   0.0012197    0.0040455
   0.0008159    0.0031583
   0.0004912    0.0022962
   0.0002475    0.0014731
   0.0000838    0.0007030
   0.0000000    0.0000000
   0.0000383   -0.0008930
   0.0002386   -0.0016549
   0.0004787   -0.0021139
   0.0007999   -0.0025668
   0.0012000   -0.0030366
   0.0016792   -0.0035315
   0.0022394   -0.0040473
   0.0028786   -0.0045771
   0.0035998   -0.0051148
   0.0044010   -0.0056566
   0.0052831   -0.0061973
   0.0062453   -0.0067360
   0.0072875   -0.0072696
   0.0084087   -0.0077973
   0.0096089   -0.0083169
   0.0108871   -0.0088274
   0.0122433   -0.0093300
   0.0136785   -0.0098225
   0.0151906   -0.0103060
   0.0167818   -0.0107805
   0.0184510   -0.0112459
   0.0201972   -0.0117033
   0.0220213   -0.0121527
   0.0239225   -0.0125971
   0.0258997   -0.0130344
   0.0279538   -0.0134667
   0.0300850   -0.0138930
   0.0322912   -0.0143113
   0.0345733   -0.0147225
   0.0369305   -0.0151257
   0.0393637   -0.0155209
   0.0418698   -0.0159061
   0.0444500   -0.0162812
   0.0471031   -0.0166473
   0.0498293   -0.0170014
   0.0526274   -0.0173455
   0.0554976   -0.0176795
   0.0584387   -0.0180025
   0.0614518   -0.0183165
   0.0645350   -0.0186205
   0.0676891   -0.0189154
   0.0709133   -0.0192003
   0.0742054   -0.0194752
   0.0775665   -0.0197401
   0.0809946   -0.0199949
   0.0844898   -0.0202397
   0.0880519   -0.0204736
   0.0916810   -0.0206963
   0.0953751   -0.0209091
   0.0991342   -0.0211098
   0.1029593   -0.0213005
   0.1068474   -0.0214812
   0.1108005   -0.0216509
   0.1148156   -0.0218115
   0.1188947   -0.0219622
   0.1230348   -0.0221038
   0.1272359   -0.0222354
   0.1314970   -0.0223569
   0.1358171   -0.0224695
   0.1401951   -0.0225710
   0.1446312   -0.0226635
   0.1491233   -0.0227450
   0.1536724   -0.0228185
   0.1582765   -0.0228809
   0.1629365   -0.0229343
   0.1676496   -0.0229788
   0.1724177   -0.0230141
   0.1772387   -0.0230405
   0.1821108   -0.0230589
   0.1870348   -0.0230682
   0.1920089   -0.0230695
   0.1970329   -0.0230619
   0.2021060   -0.0230461
   0.2072270   -0.0230214
   0.2123961   -0.0229887
   0.2176101   -0.0229479
   0.2228702   -0.0229001
   0.2281742   -0.0228444
   0.2335222   -0.0227816
   0.2389113   -0.0227127
   0.2443433   -0.0226369
   0.2498163   -0.0225541
   0.2553294   -0.0224652
   0.2608824   -0.0223693
   0.2664754   -0.0222664
   0.2721055   -0.0221565
   0.2777735   -0.0220416
   0.2834775   -0.0219207
   0.2892155   -0.0217938
   0.2949885   -0.0216608
   0.3007936   -0.0215229
   0.3066306   -0.0213789
   0.3124986   -0.0212299
