HM391-2	 Ein Brettprofil erstellt 04
   1.0000000    0.0000000
   0.9943200    0.0005107
   0.9886400    0.0010115
   0.9829800    0.0015222
   0.9773200    0.0020230
   0.9716800    0.0025337
   0.9660601    0.0030344
   0.9604701    0.0035452
   0.9549001    0.0040459
   0.9493701    0.0045566
   0.9438501    0.0050574
   0.9383301    0.0055681
   0.9328001    0.0060788
   0.9272301    0.0065995
   0.9216101    0.0071203
   0.9159102    0.0076410
   0.9101302    0.0081818
   0.9042302    0.0087225
   0.8982302    0.0092733
   0.8921402    0.0098341
   0.8859702    0.0104049
   0.8797502    0.0109757
   0.8734802    0.0115566
   0.8671803    0.0121474
   0.8608603    0.0127482
   0.8545603    0.0133490
   0.8482603    0.0139499
   0.8419703    0.0145707
   0.8356803    0.0151815
   0.8293903    0.0158123
   0.8231004    0.0164332
   0.8168004    0.0170640
   0.8104904    0.0177048
   0.8041604    0.0183456
   0.7978204    0.0189865
   0.7914805    0.0196273
   0.7851505    0.0202681
   0.7788505    0.0209090
   0.7725905    0.0215498
   0.7663705    0.0221906
   0.7602306    0.0228214
   0.7541606    0.0234522
   0.7481806    0.0240730
   0.7422706    0.0246938
   0.7364207    0.0253145
   0.7306007    0.0259253
   0.7248007    0.0265460
   0.7189907    0.0271568
   0.7131607    0.0277676
   0.7072808    0.0283883
   0.7013508    0.0290091
   0.6953508    0.0296299
   0.6892708    0.0302607
   0.6831008    0.0309015
   0.6768509    0.0315423
   0.6704909    0.0321832
   0.6640409    0.0328340
   0.6574709    0.0334949
   0.6507809    0.0341657
   0.6440010    0.0348366
   0.6371510    0.0355075
   0.6302710    0.0361784
   0.6234010    0.0368493
   0.6165810    0.0375202
   0.6098311    0.0381811
   0.6031911    0.0388320
   0.5966911    0.0394728
   0.5903511    0.0401037
   0.5841311    0.0407145
   0.5780212    0.0413253
   0.5719612    0.0419261
   0.5659512    0.0425169
   0.5599512    0.0431176
   0.5539312    0.0437084
   0.5478612    0.0443092
   0.5417313    0.0449100
   0.5355513    0.0455108
   0.5293413    0.0461116
   0.5231113    0.0467125
   0.5168813    0.0473133
   0.5106613    0.0479041
   0.5044813    0.0484949
   0.4983514    0.0490757
   0.4922814    0.0496465
   0.4862614    0.0502173
   0.4802714    0.0507781
   0.4743214    0.0513289
   0.4683714    0.0518796
   0.4624214    0.0524204
   0.4564614    0.0529612
   0.4504815    0.0535020
   0.4444515    0.0540428
   0.4383815    0.0545736
   0.4322515    0.0551044
   0.4260715    0.0556352
   0.4198315    0.0561660
   0.4135315    0.0566868
   0.4071515    0.0572076
   0.4007015    0.0577185
   0.3941715    0.0582193
   0.3875715    0.0587202
   0.3809315    0.0592111
   0.3742715    0.0596819
   0.3676215    0.0601528
   0.3610015    0.0605937
   0.3544315    0.0610145
   0.3479415    0.0614254
   0.3415614    0.0617962
   0.3353014    0.0621570
   0.3291914    0.0624778
   0.3232714    0.0627786
   0.3175414    0.0630594
   0.3120414    0.0633101
   0.3067913    0.0635308
   0.3018113    0.0637314
   0.2971413    0.0639020
   0.2927813    0.0640526
   0.2887012    0.0641731
   0.2848912    0.0642836
   0.2813212    0.0643741
   0.2779712    0.0644445
   0.2748011    0.0645049
   0.2718111    0.0645653
   0.2689511    0.0646057
   0.2662211    0.0646460
   0.2635710    0.0646864
   0.2610010    0.0647167
   0.2584710    0.0647470
   0.2559610    0.0647774
   0.2534510    0.0647977
   0.2509109    0.0648080
   0.2483209    0.0648184
   0.2456509    0.0648197
   0.2429109    0.0648191
   0.2401108    0.0648094
   0.2372308    0.0647998
   0.2343008    0.0647702
   0.2313207    0.0647406
   0.2282907    0.0647110
   0.2252307    0.0646614
   0.2221206    0.0646018
   0.2189906    0.0645422
   0.2158305    0.0644626
   0.2126605    0.0643830
   0.2094905    0.0642934
   0.2063104    0.0641938
   0.2031304    0.0640842
   0.1999703    0.0639746
   0.1968203    0.0638451
   0.1936902    0.0637155
   0.1905802    0.0635759
   0.1874901    0.0634363
   0.1844001    0.0632767
   0.1813200    0.0631071
   0.1782500    0.0629275
   0.1751799    0.0627379
   0.1721199    0.0625382
   0.1690498    0.0623186
   0.1659797    0.0620890
   0.1629297    0.0618494
   0.1599096    0.0615998
   0.1569095    0.0613502
   0.1539395    0.0610806
   0.1510194    0.0608210
   0.1481494    0.0605413
   0.1453393    0.0602617
   0.1425592    0.0599821
   0.1398092    0.0596924
   0.1370591    0.0593828
   0.1342890    0.0590631
   0.1314989    0.0587235
   0.1286589    0.0583639
   0.1257488    0.0579842
   0.1227587    0.0575746
   0.1196986    0.0571450
   0.1165785    0.0566854
   0.1134184    0.0562058
   0.1102183    0.0557062
   0.1070082    0.0551766
   0.1037981    0.0546371
   0.1005980    0.0540675
   0.0974179    0.0534879
   0.0942778    0.0528783
   0.0911777    0.0522687
   0.0881276    0.0516391
   0.0851375    0.0509994
   0.0822174    0.0503598
   0.0793673    0.0497102
   0.0765971    0.0490605
   0.0739170    0.0484109
   0.0713269    0.0477612
   0.0688168    0.0471115
   0.0663967    0.0464718
   0.0640666    0.0458221
   0.0618065    0.0451824
   0.0596264    0.0445427
   0.0575163    0.0439030
   0.0554762    0.0432632
   0.0535061    0.0426335
   0.0515960    0.0419937
   0.0497459    0.0413639
   0.0479558    0.0407342
   0.0462157    0.0401144
   0.0445356    0.0394846
   0.0428955    0.0388548
   0.0412954    0.0382350
   0.0397453    0.0376152
   0.0382252    0.0369854
   0.0367551    0.0363656
   0.0353350    0.0357458
   0.0339549    0.0351359
   0.0326148    0.0345161
   0.0313247    0.0339063
   0.0300846    0.0332964
   0.0288945    0.0326866
   0.0277444    0.0320867
   0.0266344    0.0314769
   0.0255643    0.0308770
   0.0245242    0.0302671
   0.0235141    0.0296572
   0.0225240    0.0290374
   0.0215539    0.0284075
   0.0205938    0.0277676
   0.0196537    0.0271177
   0.0187336    0.0264678
   0.0178235    0.0258079
   0.0169334    0.0251381
   0.0160733    0.0244682
   0.0152232    0.0237883
   0.0144031    0.0231184
   0.0136031    0.0224385
   0.0128330    0.0217585
   0.0120929    0.0210786
   0.0113728    0.0204087
   0.0106927    0.0197388
   0.0100326    0.0190789
   0.0094025    0.0184190
   0.0088024    0.0177790
   0.0082423    0.0171391
   0.0077022    0.0165192
   0.0071921    0.0159092
   0.0067121    0.0153093
   0.0062620    0.0147193
   0.0058219    0.0141394
   0.0054018    0.0135594
   0.0050017    0.0129995
   0.0046117    0.0124395
   0.0042416    0.0118796
   0.0038715    0.0113196
   0.0035114    0.0107497
   0.0031614    0.0101497
   0.0028213    0.0095197
   0.0024812    0.0088598
   0.0021411    0.0081398
   0.0018110    0.0073598
   0.0014909    0.0065199
   0.0011707    0.0056299
   0.0008706    0.0046999
   0.0006005    0.0037700
   0.0003704    0.0028500
   0.0001903    0.0019500
   0.0000601    0.0011100
   0.0000000    0.0000000
   0.0000799   -0.0009300
   0.0002198   -0.0014500
   0.0003998   -0.0019101
   0.0006097   -0.0023201
   0.0008497   -0.0027001
   0.0010996   -0.0030602
   0.0013596   -0.0034102
   0.0015995   -0.0037602
   0.0018395   -0.0041303
   0.0020894   -0.0045203
   0.0023694   -0.0049404
   0.0026893   -0.0053804
   0.0030793   -0.0058605
   0.0035492   -0.0063905
   0.0041191   -0.0069506
   0.0048091   -0.0075707
   0.0056090   -0.0082308
   0.0065289   -0.0089409
   0.0075288   -0.0096611
   0.0086087   -0.0104112
   0.0097386   -0.0111514
   0.0108986   -0.0118815
   0.0120885   -0.0125917
   0.0132784   -0.0132719
   0.0144583   -0.0139020
   0.0156583   -0.0144922
   0.0168882   -0.0150723
   0.0181782   -0.0156225
   0.0195481   -0.0161627
   0.0210180   -0.0167129
   0.0226280   -0.0172731
   0.0243779   -0.0178433
   0.0262979   -0.0184436
   0.0283778   -0.0190739
   0.0305877   -0.0197142
   0.0329177   -0.0203645
   0.0353476   -0.0210248
   0.0378576   -0.0216751
   0.0404175   -0.0223155
   0.0430274   -0.0229458
   0.0456574   -0.0235462
   0.0483273   -0.0241365
   0.0510873   -0.0247069
   0.0539573   -0.0252573
   0.0569972   -0.0258177
   0.0602372   -0.0263681
   0.0637271   -0.0269186
   0.0674871   -0.0274890
   0.0715771   -0.0280696
   0.0759670   -0.0286602
   0.0806170   -0.0292508
   0.0854670   -0.0298514
   0.0904769   -0.0304421
   0.0955769   -0.0310127
   0.1007269   -0.0315734
   0.1058569   -0.0321041
   0.1109369   -0.0325947
   0.1159069   -0.0330454
   0.1207869   -0.0334660
   0.1255769   -0.0338567
   0.1302869   -0.0342173
   0.1349069   -0.0345579
   0.1394569   -0.0348685
   0.1439269   -0.0351691
   0.1483369   -0.0354496
   0.1526769   -0.0357102
   0.1569769   -0.0359708
   0.1612369   -0.0362113
   0.1654869   -0.0364519
   0.1697169   -0.0366724
   0.1739569   -0.0368930
   0.1782170   -0.0371035
   0.1825170   -0.0373041
   0.1868570   -0.0374947
   0.1912270   -0.0376852
   0.1956070   -0.0378658
   0.1999871   -0.0380264
   0.2043371   -0.0381869
   0.2086471   -0.0383375
   0.2128971   -0.0384781
   0.2170672   -0.0386086
   0.2211372   -0.0387191
   0.2251072   -0.0388297
   0.2290072   -0.0389202
   0.2328273   -0.0390007
   0.2365873   -0.0390711
   0.2402973   -0.0391416
   0.2439773   -0.0392021
   0.2476274   -0.0392626
   0.2512674   -0.0393131
   0.2549074   -0.0393635
   0.2585375   -0.0394040
   0.2621775   -0.0394545
   0.2658275   -0.0394950
   0.2694976   -0.0395354
   0.2731776   -0.0395759
   0.2768976   -0.0396164
   0.2806377   -0.0396469
   0.2844177   -0.0396874
   0.2882877   -0.0397179
   0.2922578   -0.0397384
   0.2963778   -0.0397689
   0.3006778   -0.0397795
   0.3051879   -0.0398001
   0.3099479   -0.0398017
   0.3149880   -0.0398013
   0.3203080   -0.0397920
   0.3258681   -0.0397728
   0.3315881   -0.0397435
   0.3374182   -0.0397143
   0.3432783   -0.0396750
   0.3491083   -0.0396258
   0.3548484   -0.0395665
   0.3604185   -0.0394972
   0.3657785   -0.0394279
   0.3709686   -0.0393486
   0.3760287   -0.0392693
   0.3810287   -0.0391699
   0.3860188   -0.0390706
   0.3910488   -0.0389712
   0.3961789   -0.0388519
   0.4014690   -0.0387326
   0.4069591   -0.0386033
   0.4126491   -0.0384740
   0.4184992   -0.0383248
   0.4244793   -0.0381856
   0.4305494   -0.0380364
   0.4366794   -0.0378771
   0.4428295   -0.0377279
   0.4489696   -0.0375687
   0.4550597   -0.0374095
   0.4610898   -0.0372503
   0.4670698   -0.0370911
   0.4730199   -0.0369319
   0.4789500   -0.0367626
   0.4848601   -0.0365834
   0.4907702   -0.0364042
   0.4966803   -0.0362149
   0.5026103   -0.0360157
   0.5085704   -0.0357965
   0.5145605   -0.0355772
   0.5205706   -0.0353480
   0.5266207   -0.0351188
   0.5327008   -0.0348796
   0.5388109   -0.0346304
   0.5449510   -0.0343912
   0.5511411   -0.0341420
   0.5573512   -0.0338928
   0.5635813   -0.0336436
   0.5698114   -0.0334044
   0.5760114   -0.0331552
   0.5821715   -0.0329160
   0.5882716   -0.0326668
   0.5942817   -0.0324276
   0.6001918   -0.0321983
   0.6059919   -0.0319591
   0.6116920   -0.0317298
   0.6173521   -0.0315006
   0.6229822   -0.0312613
   0.6286323   -0.0310320
   0.6343323   -0.0307828
   0.6401224   -0.0305335
   0.6460325   -0.0302743
   0.6520826   -0.0300051
   0.6582927   -0.0297259
   0.6646128   -0.0294367
   0.6710229   -0.0291375
   0.6775030   -0.0288284
   0.6840331   -0.0285192
   0.6905732   -0.0282001
   0.6971033   -0.0278809
   0.7036035   -0.0275517
   0.7100636   -0.0272226
   0.7165137   -0.0268934
   0.7229638   -0.0265543
   0.7294339   -0.0262151
   0.7359440   -0.0258559
   0.7425041   -0.0254968
   0.7491542   -0.0251276
   0.7558943   -0.0247585
   0.7627245   -0.0243694
   0.7696046   -0.0239703
   0.7765147   -0.0235712
   0.7833948   -0.0231721
   0.7902249   -0.0227630
   0.7969551   -0.0223638
   0.8035552   -0.0219647
   0.8099853   -0.0215755
   0.8162354   -0.0211863
   0.8223255   -0.0208071
   0.8282956   -0.0204279
   0.8341757   -0.0200386
   0.8400158   -0.0196494
   0.8458460   -0.0192402
   0.8517061   -0.0188209
   0.8576262   -0.0183917
   0.8636263   -0.0179325
   0.8697164   -0.0174532
   0.8758466   -0.0169640
   0.8819967   -0.0164548
   0.8881468   -0.0159356
   0.8942769   -0.0153964
   0.9003471   -0.0148572
   0.9063372   -0.0143180
   0.9122273   -0.0137587
   0.9179975   -0.0132095
   0.9236276   -0.0126502
   0.9291177   -0.0120909
   0.9344478   -0.0115316
   0.9396080   -0.0109623
   0.9445681   -0.0104029
   0.9493382   -0.0098335
   0.9538883   -0.0092641
   0.9582285   -0.0087047
   0.9623386   -0.0081352
   0.9662387   -0.0075557
   0.9699288   -0.0069862
   0.9734089   -0.0064066
   0.9766690   -0.0058370
   0.9797291   -0.0052474
   0.9825692   -0.0046678
   0.9852293   -0.0040781
   0.9876994   -0.0034784
   0.9900395   -0.0028887
   0.9922496   -0.0022890
   0.9943697   -0.0016893
   0.9964098   -0.0010895
   0.9984099   -0.0004798
   1.0000000    0.0000000
