HM50  dieser Strak eignet sich besonders fr Hortenmodelle
   1.0000000    0.0000000
   0.9983860   -0.0000011
   0.9979265    0.0000034
   0.9973790    0.0000097
   0.9967325    0.0000185
   0.9959860    0.0000302
   0.9951431    0.0000455
   0.9942074    0.0000650
   0.9931827    0.0000891
   0.9920725    0.0001187
   0.9908805    0.0001543
   0.9896103    0.0001965
   0.9882653    0.0002459
   0.9868465    0.0003029
   0.9853528    0.0003675
   0.9837830    0.0004402
   0.9821361    0.0005210
   0.9804108    0.0006102
   0.9786061    0.0007078
   0.9767208    0.0008143
   0.9747538    0.0009296
   0.9727053    0.0010540
   0.9705772    0.0011873
   0.9683714    0.0013300
   0.9660901    0.0014816
   0.9637350    0.0016426
   0.9613084    0.0018127
   0.9588120    0.0019922
   0.9562479    0.0021810
   0.9536169    0.0023793
   0.9509171    0.0025878
   0.9481461    0.0028073
   0.9453019    0.0030386
   0.9423822    0.0032824
   0.9393848    0.0035392
   0.9363074    0.0038101
   0.9331478    0.0040956
   0.9299047    0.0043963
   0.9265796    0.0047122
   0.9231748    0.0050425
   0.9196927    0.0053872
   0.9161355    0.0057458
   0.9125058    0.0061179
   0.9088056    0.0065031
   0.9050374    0.0069010
   0.9012036    0.0073115
   0.8973073    0.0077343
   0.8933519    0.0081696
   0.8893408    0.0086176
   0.8852772    0.0090782
   0.8811646    0.0095517
   0.8770063    0.0100383
   0.8728059    0.0105377
   0.8685661    0.0110504
   0.8642846    0.0115769
   0.8599548    0.0121183
   0.8555702    0.0126756
   0.8511241    0.0132498
   0.8466100    0.0138421
   0.8420215    0.0144533
   0.8373517    0.0150847
   0.8325943    0.0157371
   0.8277462    0.0164105
   0.8228085    0.0171036
   0.8177823    0.0178149
   0.8126687    0.0185431
   0.8074692    0.0192868
   0.8021849    0.0200445
   0.7968171    0.0208147
   0.7913670    0.0215961
   0.7858420    0.0223868
   0.7802617    0.0231842
   0.7746474    0.0239855
   0.7690204    0.0247878
   0.7634018    0.0255885
   0.7578130    0.0263846
   0.7522750    0.0271735
   0.7468092    0.0279523
   0.7414278    0.0287193
   0.7361100    0.0294767
   0.7308278    0.0302275
   0.7255531    0.0309748
   0.7202579    0.0317218
   0.7149137    0.0324715
   0.7094927    0.0332268
   0.7039669    0.0339909
   0.6983122    0.0347664
   0.6925329    0.0355527
   0.6866445    0.0363478
   0.6806627    0.0371498
   0.6746029    0.0379568
   0.6684808    0.0387668
   0.6623119    0.0395780
   0.6561118    0.0403883
   0.6498956    0.0411959
   0.6436713    0.0419994
   0.6374426    0.0427979
   0.6312124    0.0435901
   0.6249841    0.0443751
   0.6187611    0.0451518
   0.6125466    0.0459193
   0.6063439    0.0466764
   0.6001561    0.0474221
   0.5939808    0.0481566
   0.5878096    0.0488804
   0.5816337    0.0495951
   0.5754441    0.0503014
   0.5692321    0.0510004
   0.5629887    0.0516933
   0.5567051    0.0523811
   0.5503724    0.0530648
   0.5439884    0.0537449
   0.5375638    0.0544198
   0.5311106    0.0550881
   0.5246411    0.0557485
   0.5181672    0.0563995
   0.5117013    0.0570396
   0.5052553    0.0576674
   0.4988415    0.0582813
   0.4924682    0.0588803
   0.4861317    0.0594645
   0.4798251    0.0600344
   0.4735420    0.0605903
   0.4672758    0.0611325
   0.4610195    0.0616617
   0.4547667    0.0621780
   0.4485106    0.0626820
   0.4422457    0.0631738
   0.4359729    0.0636533
   0.4296952    0.0641197
   0.4234158    0.0645726
   0.4171381    0.0650114
   0.4108653    0.0654355
   0.4046005    0.0658443
   0.3983471    0.0662374
   0.3921082    0.0666141
   0.3858857    0.0669740
   0.3796809    0.0673168
   0.3734951    0.0676422
   0.3673295    0.0679498
   0.3611853    0.0682394
   0.3550637    0.0685108
   0.3489660    0.0687635
   0.3428935    0.0689972
   0.3368470    0.0692116
   0.3308277    0.0694065
   0.3248362    0.0695817
   0.3188737    0.0697368
   0.3129407    0.0698717
   0.3070384    0.0699860
   0.3011675    0.0700794
   0.2953289    0.0701517
   0.2895236    0.0702026
   0.2837524    0.0702322
   0.2780163    0.0702400
   0.2723161    0.0702260
   0.2666529    0.0701900
   0.2610274    0.0701320
   0.2554407    0.0700516
   0.2498936    0.0699487
   0.2443871    0.0698233
   0.2389220    0.0696752
   0.2334993    0.0695043
   0.2281198    0.0693105
   0.2227846    0.0690939
   0.2174943    0.0688542
   0.2122499    0.0685915
   0.2070525    0.0683056
   0.2019027    0.0679964
   0.1968015    0.0676640
   0.1917498    0.0673082
   0.1867482    0.0669289
   0.1817978    0.0665260
   0.1768993    0.0660996
   0.1720535    0.0656495
   0.1672613    0.0651756
   0.1625236    0.0646779
   0.1578411    0.0641565
   0.1532143    0.0636116
   0.1486439    0.0630437
   0.1441308    0.0624529
   0.1396754    0.0618394
   0.1352785    0.0612036
   0.1309406    0.0605458
   0.1266626    0.0598661
   0.1224450    0.0591649
   0.1182886    0.0584421
   0.1141943    0.0576978
   0.1101629    0.0569322
   0.1061950    0.0561454
   0.1022914    0.0553372
   0.0984530    0.0545082
   0.0946805    0.0536580
   0.0909746    0.0527871
   0.0873358    0.0518957
   0.0837645    0.0509847
   0.0802614    0.0500540
   0.0768268    0.0491046
   0.0734612    0.0481366
   0.0701652    0.0471506
   0.0669392    0.0461471
   0.0637837    0.0451265
   0.0606990    0.0440891
   0.0576858    0.0430354
   0.0547444    0.0419655
   0.0518753    0.0408798
   0.0490788    0.0397787
   0.0463554    0.0386625
   0.0437056    0.0375316
   0.0411299    0.0363862
   0.0386285    0.0352275
   0.0362022    0.0340569
   0.0338513    0.0328755
   0.0315763    0.0316846
   0.0293778    0.0304855
   0.0272562    0.0292794
   0.0252121    0.0280676
   0.0232458    0.0268514
   0.0213578    0.0256317
   0.0195482    0.0244088
   0.0178172    0.0231834
   0.0161652    0.0219564
   0.0145922    0.0207280
