HN-1069a	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001600
   0.9960600    0.0007000
   0.9911400    0.0015900
   0.9842900    0.0028900
   0.9755300    0.0046300
   0.9648900    0.0067400
   0.9524100    0.0091400
   0.9381500    0.0118100
   0.9221600    0.0147300
   0.9045100    0.0179100
   0.8852600    0.0213400
   0.8644800    0.0249600
   0.8422700    0.0287400
   0.8187100    0.0326300
   0.7938900    0.0365900
   0.7679100    0.0405700
   0.7408800    0.0445300
   0.7128900    0.0484400
   0.6840600    0.0522500
   0.6545100    0.0559200
   0.6243500    0.0594300
   0.5936900    0.0627100
   0.5626700    0.0657500
   0.5314000    0.0684900
   0.5000000    0.0709100
   0.4686100    0.0729900
   0.4373300    0.0746800
   0.4063100    0.0759900
   0.3756600    0.0768700
   0.3454900    0.0773100
   0.3159400    0.0773000
   0.2871100    0.0768300
   0.2591200    0.0758700
   0.2320900    0.0744400
   0.2061100    0.0725100
   0.1812900    0.0701000
   0.1577300    0.0671900
   0.1355200    0.0638200
   0.1147400    0.0599700
   0.0954900    0.0556800
   0.0778400    0.0509600
   0.0618500    0.0458400
   0.0475900    0.0403700
   0.0351100    0.0345800
   0.0244700    0.0285300
   0.0157100    0.0223700
   0.0088600    0.0162500
   0.0039400    0.0102200
   0.0009900    0.0046400
   0.0000000    0.0000000
   0.0009900   -0.0041500
   0.0039400   -0.0087400
   0.0088600   -0.0133100
   0.0157100   -0.0176500
   0.0244700   -0.0218100
   0.0351100   -0.0256800
   0.0475900   -0.0291700
   0.0618500   -0.0322900
   0.0778400   -0.0350200
   0.0954900   -0.0373700
   0.1147400   -0.0393400
   0.1355200   -0.0409300
   0.1577300   -0.0421600
   0.1812900   -0.0430500
   0.2061100   -0.0435800
   0.2320900   -0.0438000
   0.2591200   -0.0437000
   0.2871100   -0.0433200
   0.3159400   -0.0426600
   0.3454900   -0.0417400
   0.3756600   -0.0405900
   0.4063100   -0.0392200
   0.4373300   -0.0376500
   0.4686100   -0.0359000
   0.5000000   -0.0339700
   0.5314000   -0.0319000
   0.5626700   -0.0296700
   0.5936900   -0.0273200
   0.6243500   -0.0248700
   0.6545100   -0.0223800
   0.6840600   -0.0199000
   0.7128900   -0.0174500
   0.7408800   -0.0150900
   0.7679100   -0.0128400
   0.7938900   -0.0107200
   0.8187100   -0.0087700
   0.8422700   -0.0069900
   0.8644800   -0.0054000
   0.8852600   -0.0040200
   0.9045100   -0.0028400
   0.9221600   -0.0018900
   0.9381500   -0.0012000
   0.9524100   -0.0006600
   0.9648900   -0.0002800
   0.9755300   -0.0000500
   0.9842900    0.0000800
   0.9911400    0.0001000
   0.9960600    0.0000800
   0.9990100    0.0000400
   1.0000000    0.0000000
