HN-304	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001800
   0.9960600    0.0007800
   0.9911400    0.0018300
   0.9842900    0.0033700
   0.9755300    0.0053500
   0.9648900    0.0076900
   0.9524100    0.0103100
   0.9381500    0.0131400
   0.9221600    0.0162000
   0.9045100    0.0194900
   0.8852600    0.0229800
   0.8644800    0.0266500
   0.8422700    0.0304500
   0.8187100    0.0343300
   0.7938900    0.0382700
   0.7679100    0.0422100
   0.7408800    0.0461300
   0.7128900    0.0499700
   0.6840600    0.0537000
   0.6545100    0.0572700
   0.6243500    0.0606600
   0.5936900    0.0638100
   0.5626700    0.0666900
   0.5314000    0.0692700
   0.5000000    0.0715100
   0.4686100    0.0733900
   0.4373300    0.0748700
   0.4063100    0.0759400
   0.3756600    0.0765800
   0.3454900    0.0767700
   0.3159400    0.0764900
   0.2871100    0.0757500
   0.2591200    0.0745100
   0.2320900    0.0727900
   0.2061100    0.0705800
   0.1812900    0.0679000
   0.1577300    0.0647500
   0.1355200    0.0611500
   0.1147400    0.0571300
   0.0954900    0.0527000
   0.0778400    0.0479100
   0.0618500    0.0428100
   0.0475900    0.0374300
   0.0351100    0.0318300
   0.0244700    0.0260600
   0.0157100    0.0202600
   0.0088600    0.0145600
   0.0039400    0.0091000
   0.0009700    0.0041000
   0.0000000    0.0000000
   0.0009900   -0.0033200
   0.0037700   -0.0068900
   0.0088600   -0.0105200
   0.0157100   -0.0138800
   0.0244700   -0.0171000
   0.0351100   -0.0201000
   0.0475900   -0.0227900
   0.0618500   -0.0251900
   0.0778400   -0.0272700
   0.0954900   -0.0290400
   0.1147400   -0.0305000
   0.1355200   -0.0316400
   0.1577300   -0.0324900
   0.1812900   -0.0330400
   0.2061100   -0.0333200
   0.2320900   -0.0333400
   0.2591200   -0.0331100
   0.2871100   -0.0326500
   0.3159400   -0.0319700
   0.3454900   -0.0310900
   0.3756600   -0.0300200
   0.4063100   -0.0287700
   0.4373300   -0.0273700
   0.4686100   -0.0258400
   0.5000000   -0.0241700
   0.5314000   -0.0223700
   0.5626700   -0.0204400
   0.5936900   -0.0183700
   0.6243500   -0.0162100
   0.6545100   -0.0140200
   0.6840600   -0.0118600
   0.7128900   -0.0097900
   0.7408800   -0.0078300
   0.7679100   -0.0060300
   0.7938900   -0.0043900
   0.8187100   -0.0029400
   0.8422700   -0.0016900
   0.8644800   -0.0006400
   0.8852600    0.0002000
   0.9045100    0.0008200
   0.9221600    0.0012400
   0.9381500    0.0014600
   0.9524100    0.0015200
   0.9648900    0.0014200
   0.9755300    0.0012100
   0.9842900    0.0009200
   0.9911400    0.0006000
   0.9960600    0.0003000
   0.9990100    0.0000800
   1.0000000    0.0000000
