HN-30s Aile volante  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0000300
   0.9960600    0.0001700
   0.9911400    0.0004300
   0.9842900    0.0008500
   0.9755300    0.0014400
   0.9648900    0.0022100
   0.9524100    0.0031300
   0.9381500    0.0042000
   0.9221600    0.0054200
   0.9045100    0.0068100
   0.8852600    0.0083600
   0.8644800    0.0100500
   0.8422700    0.0118700
   0.8187100    0.0138100
   0.7938900    0.0158300
   0.7679100    0.0179300
   0.7408800    0.0200800
   0.7128900    0.0222500
   0.6840600    0.0244200
   0.6545100    0.0265600
   0.6243500    0.0286500
   0.5936900    0.0306400
   0.5626700    0.0324900
   0.5314000    0.0342000
   0.5000000    0.0357200
   0.4686100    0.0370600
   0.4373300    0.0382200
   0.4063100    0.0391600
   0.3756600    0.0399000
   0.3454900    0.0404100
   0.3159400    0.0406900
   0.2871100    0.0407200
   0.2591200    0.0404900
   0.2320900    0.0400000
   0.2061100    0.0392500
   0.1812900    0.0382300
   0.1577300    0.0369200
   0.1355200    0.0353400
   0.1147400    0.0334800
   0.0954900    0.0313500
   0.0778400    0.0289400
   0.0618500    0.0262800
   0.0475900    0.0233700
   0.0351100    0.0202300
   0.0244700    0.0168800
   0.0157100    0.0134000
   0.0088600    0.0098700
   0.0039400    0.0062700
   0.0009900    0.0029100
   0.0000000    0.0000000
   0.0009900   -0.0029100
   0.0039400   -0.0062700
   0.0088600   -0.0098700
   0.0157100   -0.0134000
   0.0244700   -0.0168800
   0.0351100   -0.0202300
   0.0475900   -0.0233700
   0.0618500   -0.0262800
   0.0778400   -0.0289400
   0.0954900   -0.0313500
   0.1147400   -0.0334800
   0.1355200   -0.0353400
   0.1577300   -0.0369200
   0.1812900   -0.0382300
   0.2061100   -0.0392500
   0.2320900   -0.0400000
   0.2591200   -0.0404900
   0.2871100   -0.0407200
   0.3159400   -0.0406900
   0.3454900   -0.0404100
   0.3756600   -0.0399000
   0.4063100   -0.0391600
   0.4373300   -0.0382200
   0.4686100   -0.0370600
   0.5000000   -0.0357200
   0.5314000   -0.0342000
   0.5626700   -0.0324900
   0.5936900   -0.0306400
   0.6243500   -0.0286500
   0.6545100   -0.0265600
   0.6840600   -0.0244200
   0.7128900   -0.0222500
   0.7408800   -0.0200800
   0.7679100   -0.0179300
   0.7938900   -0.0158300
   0.8187100   -0.0138100
   0.8422700   -0.0118700
   0.8644800   -0.0100500
   0.8852600   -0.0083600
   0.9045100   -0.0068100
   0.9221600   -0.0054200
   0.9381500   -0.0042000
   0.9524100   -0.0031300
   0.9648900   -0.0022100
   0.9755300   -0.0014400
   0.9842900   -0.0008500
   0.9911400   -0.0004300
   0.9960600   -0.0001700
   0.9990100   -0.0000300
   1.0000000    0.0000000
