HN-315S Aile volante  Norbert Habbe
   1.0000000    0.0000000
   0.9964600    0.0002100
   0.9862500    0.0010400
   0.9701700    0.0026100
   0.9488500    0.0046800
   0.9224700    0.0069300
   0.8911800    0.0094000
   0.8553800    0.0121200
   0.8156000    0.0150900
   0.7723700    0.0182600
   0.7262700    0.0215300
   0.6778900    0.0248000
   0.6277700    0.0279600
   0.5764700    0.0309200
   0.5245600    0.0335900
   0.4726100    0.0358800
   0.4211600    0.0377300
   0.3578800    0.0390600
   0.3023700    0.0398200
   0.2525000    0.0399600
   0.2079600    0.0394100
   0.1684100    0.0381600
   0.1335200    0.0361800
   0.1030300    0.0334800
   0.0763000    0.0300800
   0.0537300    0.0260000
   0.0349900    0.0213300
   0.0201600    0.0161400
   0.0092600    0.0106400
   0.0024000    0.0051000
   0.0000000    0.0000000
   0.0024000   -0.0051000
   0.0092600   -0.0106400
   0.0201600   -0.0161400
   0.0349900   -0.0213300
   0.0537300   -0.0260000
   0.0763000   -0.0300800
   0.1030300   -0.0334800
   0.1335200   -0.0361800
   0.1684100   -0.0381600
   0.2079600   -0.0394100
   0.2525000   -0.0399600
   0.3023700   -0.0398200
   0.3578800   -0.0390600
   0.4211600   -0.0377300
   0.4726100   -0.0358800
   0.5245600   -0.0335900
   0.5764700   -0.0309200
   0.6277700   -0.0279600
   0.6778900   -0.0248000
   0.7262700   -0.0215300
   0.7723700   -0.0182600
   0.8156000   -0.0150900
   0.8553800   -0.0121200
   0.8911800   -0.0094000
   0.9224700   -0.0069300
   0.9488500   -0.0046800
   0.9701700   -0.0026100
   0.9862500   -0.0010400
   0.9964600   -0.0002100
   1.0000000    0.0000000
