HN-350M01 F3J  Norbert Habbe
   1.0000000    0.0000000
   0.9990130    0.0001490
   0.9960570    0.0006430
   0.9911440    0.0015270
   0.9842920    0.0028050
   0.9755280    0.0044490
   0.9648880    0.0063960
   0.9524140    0.0085750
   0.9381530    0.0109230
   0.9221640    0.0134570
   0.9045080    0.0161710
   0.8852570    0.0190570
   0.8644840    0.0220800
   0.8422740    0.0252050
   0.8187120    0.0284010
   0.7938930    0.0316370
   0.7679130    0.0348760
   0.7408770    0.0380920
   0.7128900    0.0412440
   0.6840620    0.0443050
   0.6545080    0.0472440
   0.6243450    0.0500340
   0.5936910    0.0526350
   0.5626670    0.0550190
   0.5313950    0.0571610
   0.5000000    0.0590300
   0.4686050    0.0606010
   0.4373330    0.0618560
   0.4063090    0.0627770
   0.3756550    0.0633370
   0.3454920    0.0635370
   0.3159380    0.0633440
   0.2871100    0.0627640
   0.2591230    0.0617780
   0.2320870    0.0603860
   0.2061070    0.0585930
   0.1812880    0.0564030
   0.1577260    0.0538140
   0.1355160    0.0508590
   0.1147430    0.0475370
   0.0954920    0.0438790
   0.0778360    0.0399130
   0.0618470    0.0356760
   0.0475860    0.0312050
   0.0351120    0.0265480
   0.0244720    0.0217370
   0.0157080    0.0169070
   0.0088560    0.0121590
   0.0039430    0.0075610
   0.0009870    0.0033420
   0.0000000    0.0000000
   0.0009870   -0.0027580
   0.0039430   -0.0058230
   0.0088560   -0.0087770
   0.0157080   -0.0115650
   0.0244720   -0.0142210
   0.0351120   -0.0167000
   0.0475860   -0.0189190
   0.0618470   -0.0208920
   0.0778360   -0.0226030
   0.0954920   -0.0240470
   0.1147430   -0.0252470
   0.1355160   -0.0261850
   0.1577260   -0.0268820
   0.1812880   -0.0273490
   0.2061070   -0.0275890
   0.2320870   -0.0276200
   0.2591230   -0.0274500
   0.2871100   -0.0271000
   0.3159380   -0.0265740
   0.3454920   -0.0258830
   0.3756550   -0.0250470
   0.4063090   -0.0240670
   0.4373330   -0.0229660
   0.4686050   -0.0217470
   0.5000000   -0.0204160
   0.5313950   -0.0189690
   0.5626670   -0.0173850
   0.5936910   -0.0156690
   0.6243450   -0.0138520
   0.6545080   -0.0120020
   0.6840620   -0.0101770
   0.7128900   -0.0084200
   0.7408770   -0.0067540
   0.7679130   -0.0052140
   0.7938930   -0.0038270
   0.8187120   -0.0025930
   0.8422740   -0.0015270
   0.8644840   -0.0006340
   0.8852570    0.0000770
   0.9045080    0.0006090
   0.9221640    0.0009690
   0.9381530    0.0011690
   0.9524140    0.0012210
   0.9648880    0.0011540
   0.9755280    0.0009870
   0.9842920    0.0007550
   0.9911440    0.0004910
   0.9960570    0.0002470
   0.9990130    0.0000670
   1.0000000    0.0000000
