HN-354 F3B  Norbert Habbe
   1.0000000    0.0000000
   0.9989500    0.0001400
   0.9958600    0.0006500
   0.9909700    0.0014800
   0.9841700    0.0027000
   0.9755300    0.0042300
   0.9648300    0.0060600
   0.9524100    0.0081000
   0.9381500    0.0103000
   0.9221600    0.0126600
   0.9045100    0.0151900
   0.8852600    0.0178700
   0.8644800    0.0206700
   0.8422700    0.0235500
   0.8187100    0.0264900
   0.7938900    0.0294500
   0.7679100    0.0324100
   0.7408800    0.0353200
   0.7128900    0.0381800
   0.6840600    0.0409300
   0.6545100    0.0435700
   0.6243500    0.0460600
   0.5936900    0.0483700
   0.5626700    0.0504900
   0.5314000    0.0523900
   0.5000000    0.0540500
   0.4686100    0.0554300
   0.4373300    0.0565200
   0.4063100    0.0573100
   0.3756600    0.0577700
   0.3454900    0.0579000
   0.3159400    0.0576700
   0.2871100    0.0571000
   0.2591200    0.0561500
   0.2320900    0.0548300
   0.2061100    0.0531600
   0.1812900    0.0511200
   0.1577300    0.0487400
   0.1355200    0.0460200
   0.1147400    0.0429700
   0.0954900    0.0396200
   0.0778400    0.0360000
   0.0618500    0.0321400
   0.0475900    0.0280800
   0.0351100    0.0238400
   0.0244700    0.0194900
   0.0157100    0.0151300
   0.0088600    0.0108500
   0.0039400    0.0067300
   0.0009500    0.0030700
   0.0000000    0.0000000
   0.0010500   -0.0024400
   0.0039400   -0.0050200
   0.0088600   -0.0075400
   0.0157100   -0.0098700
   0.0244700   -0.0120700
   0.0351100   -0.0141000
   0.0475900   -0.0158900
   0.0618500   -0.0174600
   0.0778400   -0.0188000
   0.0954900   -0.0199100
   0.1147400   -0.0208000
   0.1355200   -0.0214700
   0.1577300   -0.0219500
   0.1812900   -0.0222200
   0.2061100   -0.0223100
   0.2320900   -0.0222400
   0.2591200   -0.0220000
   0.2871100   -0.0216300
   0.3159400   -0.0211200
   0.3454900   -0.0204800
   0.3756600   -0.0197400
   0.4063100   -0.0188900
   0.4373300   -0.0179400
   0.4686100   -0.0169100
   0.5000000   -0.0157900
   0.5314000   -0.0145800
   0.5626700   -0.0132400
   0.5936900   -0.0117800
   0.6243500   -0.0102300
   0.6545100   -0.0086500
   0.6840600   -0.0071000
   0.7128900   -0.0056200
   0.7408800   -0.0042300
   0.7679100   -0.0029600
   0.7938900   -0.0018400
   0.8187100   -0.0008600
   0.8422700   -0.0000400
   0.8644800    0.0006200
   0.8852600    0.0011200
   0.9045100    0.0014600
   0.9221600    0.0016400
   0.9381500    0.0016900
   0.9524100    0.0016100
   0.9648900    0.0014300
   0.9755300    0.0011700
   0.9842900    0.0008600
   0.9911400    0.0005400
   0.9960600    0.0002600
   0.9990100    0.0000700
   1.0000000    0.0000000
