F3B   Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001500
   0.9960600    0.0006500
   0.9911400    0.0015300
   0.9842900    0.0028100
   0.9755300    0.0044500
   0.9648900    0.0063600
   0.9524100    0.0085000
   0.9381500    0.0108100
   0.9221600    0.0132800
   0.9045100    0.0159300
   0.8852600    0.0187300
   0.8644800    0.0216500
   0.8422700    0.0246600
   0.8187100    0.0277300
   0.7938900    0.0308200
   0.7679100    0.0338900
   0.7408800    0.0369100
   0.7128900    0.0398600
   0.6840600    0.0427000
   0.6545100    0.0453900
   0.6243500    0.0479200
   0.5936900    0.0502700
   0.5626700    0.0523900
   0.5314000    0.0542800
   0.5000000    0.0559000
   0.4686100    0.0572300
   0.4373300    0.0582600
   0.4063100    0.0589600
   0.3756600    0.0593400
   0.3454900    0.0593800
   0.3159400    0.0590400
   0.2871100    0.0583600
   0.2591200    0.0573100
   0.2320900    0.0558900
   0.2061100    0.0541300
   0.1812900    0.0520100
   0.1577300    0.0495400
   0.1355200    0.0467500
   0.1147400    0.0436300
   0.0954900    0.0402200
   0.0778400    0.0365400
   0.0618500    0.0326100
   0.0475900    0.0284900
   0.0351100    0.0242000
   0.0244700    0.0198000
   0.0157100    0.0153600
   0.0088600    0.0110000
   0.0039400    0.0068400
   0.0009900    0.0031600
   0.0000000    0.0000000
   0.0009900   -0.0026100
   0.0039400   -0.0052000
   0.0088600   -0.0077800
   0.0157100   -0.0102300
   0.0244700   -0.0125500
   0.0351100   -0.0146900
   0.0475900   -0.0165800
   0.0618500   -0.0182400
   0.0778400   -0.0196400
   0.0954900   -0.0208000
   0.1147400   -0.0217200
   0.1355200   -0.0223800
   0.1577300   -0.0228300
   0.1812900   -0.0230500
   0.2061100   -0.0230600
   0.2320900   -0.0228800
   0.2591200   -0.0225300
   0.2871100   -0.0220100
   0.3159400   -0.0213400
   0.3454900   -0.0205300
   0.3756600   -0.0196000
   0.4063100   -0.0185700
   0.4373300   -0.0174300
   0.4686100   -0.0162300
   0.5000000   -0.0149600
   0.5314000   -0.0136100
   0.5626700   -0.0122100
   0.5936900   -0.0107400
   0.6243500   -0.0092300
   0.6545100   -0.0077400
   0.6840600   -0.0062900
   0.7128900   -0.0049100
   0.7408800   -0.0036200
   0.7679100   -0.0024500
   0.7938900   -0.0014000
   0.8187100   -0.0005000
   0.8422700    0.0002700
   0.8644800    0.0008900
   0.8852600    0.0013500
   0.9045100    0.0016600
   0.9221600    0.0018300
   0.9381500    0.0018500
   0.9524100    0.0017400
   0.9648900    0.0015300
   0.9755300    0.0012400
   0.9842900    0.0009100
   0.9911400    0.0005700
   0.9960600    0.0002800
   0.9990100    0.0000700
   1.0000000    0.0000000
