HN-478S	 Norbert Habbe Leitwerke-Aile volante
   1.0000000    0.0000000
   0.9990100    0.0000500
   0.9960600    0.0002200
   0.9911400    0.0005600
   0.9842900    0.0011200
   0.9755300    0.0019200
   0.9648900    0.0029500
   0.9524100    0.0041900
   0.9381500    0.0056300
   0.9221600    0.0072700
   0.9045100    0.0091200
   0.8852600    0.0111800
   0.8644800    0.0134400
   0.8422700    0.0158700
   0.8187100    0.0184700
   0.7938900    0.0212000
   0.7679100    0.0240400
   0.7408800    0.0269700
   0.7128900    0.0299500
   0.6840600    0.0329600
   0.6545100    0.0359600
   0.6243500    0.0389100
   0.5936900    0.0417600
   0.5626700    0.0444800
   0.5314000    0.0470100
   0.5000000    0.0493200
   0.4686100    0.0513500
   0.4373300    0.0530900
   0.4063100    0.0545000
   0.3756600    0.0555500
   0.3454900    0.0562300
   0.3159400    0.0565000
   0.2871100    0.0563800
   0.2591200    0.0558600
   0.2320900    0.0549700
   0.2061100    0.0536800
   0.1812900    0.0520200
   0.1577300    0.0499700
   0.1355200    0.0475500
   0.1147400    0.0447700
   0.0954900    0.0416500
   0.0778400    0.0381900
   0.0618500    0.0344200
   0.0475900    0.0303800
   0.0351100    0.0261000
   0.0244700    0.0216100
   0.0157100    0.0170200
   0.0088600    0.0124500
   0.0039400    0.0078400
   0.0009900    0.0033500
   0.0000000    0.0000000
   0.0009900   -0.0033500
   0.0039400   -0.0078400
   0.0088600   -0.0124500
   0.0157100   -0.0170200
   0.0244700   -0.0216100
   0.0351100   -0.0261000
   0.0475900   -0.0303800
   0.0618500   -0.0344200
   0.0778400   -0.0381900
   0.0954900   -0.0416500
   0.1147400   -0.0447700
   0.1355200   -0.0475500
   0.1577300   -0.0499700
   0.1812900   -0.0520200
   0.2061100   -0.0536800
   0.2320900   -0.0549700
   0.2591200   -0.0558600
   0.2871100   -0.0563800
   0.3159400   -0.0565000
   0.3454900   -0.0562300
   0.3756600   -0.0555500
   0.4063100   -0.0545000
   0.4373300   -0.0530900
   0.4686100   -0.0513500
   0.5000000   -0.0493200
   0.5314000   -0.0470100
   0.5626700   -0.0444800
   0.5936900   -0.0417600
   0.6243500   -0.0389100
   0.6545100   -0.0359600
   0.6840600   -0.0329600
   0.7128900   -0.0299500
   0.7408800   -0.0269700
   0.7679100   -0.0240400
   0.7938900   -0.0212000
   0.8187100   -0.0184700
   0.8422700   -0.0158700
   0.8644800   -0.0134400
   0.8852600   -0.0111800
   0.9045100   -0.0091200
   0.9221600   -0.0072700
   0.9381500   -0.0056300
   0.9524100   -0.0041900
   0.9648900   -0.0029500
   0.9755300   -0.0019200
   0.9842900   -0.0011200
   0.9911400   -0.0005600
   0.9960600   -0.0002200
   0.9990100   -0.0000500
   1.0000000    0.0000000
