HN-480	 Norbert Habbe F3F
   1.0000000    0.0000000
   0.9990100    0.0001200
   0.9960600    0.0005000
   0.9911400    0.0011900
   0.9842900    0.0022100
   0.9755300    0.0035500
   0.9648900    0.0051400
   0.9524100    0.0069700
   0.9381500    0.0089800
   0.9221600    0.0111900
   0.9045100    0.0135900
   0.8852600    0.0161600
   0.8644800    0.0188800
   0.8422700    0.0217000
   0.8187100    0.0246000
   0.7938900    0.0275300
   0.7679100    0.0304700
   0.7408800    0.0333600
   0.7128900    0.0361600
   0.6840600    0.0388900
   0.6545100    0.0415100
   0.6243500    0.0439200
   0.5936900    0.0461200
   0.5626700    0.0481500
   0.5314000    0.0499700
   0.5000000    0.0515500
   0.4686100    0.0528600
   0.4373300    0.0538900
   0.4063100    0.0546300
   0.3756600    0.0550600
   0.3454900    0.0551800
   0.3159400    0.0549600
   0.2871100    0.0544200
   0.2591200    0.0535300
   0.2320900    0.0523000
   0.2061100    0.0507600
   0.1812900    0.0488700
   0.1577300    0.0466600
   0.1355200    0.0441200
   0.1147400    0.0412200
   0.0954900    0.0380800
   0.0778400    0.0347200
   0.0618500    0.0310800
   0.0475900    0.0271900
   0.0351100    0.0231400
   0.0244700    0.0189600
   0.0157100    0.0147300
   0.0088600    0.0105700
   0.0039400    0.0065400
   0.0009900    0.0029700
   0.0000000    0.0000000
   0.0009900   -0.0025900
   0.0039400   -0.0052500
   0.0088600   -0.0079800
   0.0157100   -0.0106200
   0.0244700   -0.0131600
   0.0351100   -0.0155200
   0.0475900   -0.0176700
   0.0618500   -0.0195900
   0.0778400   -0.0212500
   0.0954900   -0.0226600
   0.1147400   -0.0238100
   0.1355200   -0.0247000
   0.1577300   -0.0253400
   0.1812900   -0.0257500
   0.2061100   -0.0259300
   0.2320900   -0.0258900
   0.2591200   -0.0256500
   0.2871100   -0.0252300
   0.3159400   -0.0246300
   0.3454900   -0.0238800
   0.3756600   -0.0229800
   0.4063100   -0.0219600
   0.4373300   -0.0208300
   0.4686100   -0.0196000
   0.5000000   -0.0183000
   0.5314000   -0.0169400
   0.5626700   -0.0155200
   0.5936900   -0.0140700
   0.6243500   -0.0126000
   0.6545100   -0.0111400
   0.6840600   -0.0097100
   0.7128900   -0.0083300
   0.7408800   -0.0070000
   0.7679100   -0.0057600
   0.7938900   -0.0046100
   0.8187100   -0.0035600
   0.8422700   -0.0026300
   0.8644800   -0.0018200
   0.8852600   -0.0011300
   0.9045100   -0.0005800
   0.9221600   -0.0001500
   0.9381500    0.0001500
   0.9524100    0.0003300
   0.9648900    0.0004110
   0.9755300    0.0004100
   0.9842900    0.0003400
   0.9911400    0.0002400
   0.9960600    0.0001300
   0.9990100    0.0000400
   1.0000000    0.0000000
