hn507 Modifié  Epr 8.25% courbure 2
   1.0000000    0.0000000
   0.9900000    0.0018828
   0.9800000    0.0038890
   0.9700000    0.0058727
   0.9600000    0.0077525
   0.9500000    0.0095464
   0.9400000    0.0112590
   0.9300000    0.0129111
   0.9200000    0.0145329
   0.9100000    0.0161172
   0.9000000    0.0176672
   0.8900000    0.0191903
   0.8800000    0.0206981
   0.8700000    0.0221830
   0.8600000    0.0236346
   0.8500000    0.0250608
   0.8400000    0.0264660
   0.8300000    0.0278483
   0.8200000    0.0292060
   0.8100000    0.0305370
   0.8000000    0.0318417
   0.7900000    0.0331243
   0.7800000    0.0343866
   0.7700000    0.0356264
   0.7600000    0.0368409
   0.7500000    0.0380289
   0.7400000    0.0391906
   0.7300000    0.0403264
   0.7200000    0.0414399
   0.7100000    0.0425302
   0.7000000    0.0435952
   0.6900000    0.0446339
   0.6800000    0.0456476
   0.6700000    0.0466378
   0.6600000    0.0476036
   0.6500000    0.0485442
   0.6400000    0.0494589
   0.6300000    0.0503470
   0.6200000    0.0512103
   0.6100000    0.0520461
   0.6000000    0.0528543
   0.5900000    0.0536346
   0.5800000    0.0543872
   0.5700000    0.0551133
   0.5600000    0.0558112
   0.5500000    0.0564798
   0.5400000    0.0571188
   0.5300000    0.0577295
   0.5200000    0.0583136
   0.5100000    0.0588692
   0.5000000    0.0593930
   0.4900000    0.0598797
   0.4800000    0.0603340
   0.4700000    0.0607592
   0.4600000    0.0611559
   0.4500000    0.0615192
   0.4400000    0.0618448
   0.4300000    0.0621328
   0.4200000    0.0623856
   0.4100000    0.0626044
   0.4000000    0.0627876
   0.3900000    0.0629337
   0.3800000    0.0630417
   0.3700000    0.0631103
   0.3600000    0.0631385
   0.3500000    0.0631247
   0.3400000    0.0630674
   0.3300000    0.0629653
   0.3200000    0.0628163
   0.3100000    0.0626219
   0.3000000    0.0623801
   0.2900000    0.0620928
   0.2800000    0.0617556
   0.2700000    0.0613613
   0.2600000    0.0609067
   0.2500000    0.0603937
   0.2400000    0.0598274
   0.2300000    0.0592000
   0.2200000    0.0585061
   0.2100000    0.0577430
   0.2000000    0.0569071
   0.1900000    0.0559936
   0.1800000    0.0549984
   0.1700000    0.0539182
   0.1600000    0.0527520
   0.1500000    0.0514911
   0.1400000    0.0501220
   0.1300000    0.0486372
   0.1200000    0.0470292
   0.1100000    0.0452855
   0.1000000    0.0433900
   0.0900000    0.0413198
   0.0800000    0.0390533
   0.0700000    0.0365702
   0.0600000    0.0338247
   0.0500000    0.0307620
   0.0400000    0.0272914
   0.0350000    0.0253633
   0.0300000    0.0232758
   0.0250000    0.0209934
   0.0200000    0.0184650
   0.0150000    0.0156181
   0.0100000    0.0123251
   0.0050000    0.0081782
   0.0000000    0.0000000
   0.0050000   -0.0059053
   0.0100000   -0.0082265
   0.0150000   -0.0099524
   0.0200000   -0.0113826
   0.0250000   -0.0125814
   0.0300000   -0.0136122
   0.0350000   -0.0145145
   0.0400000   -0.0153121
   0.0500000   -0.0166616
   0.0600000   -0.0177594
   0.0700000   -0.0186636
   0.0800000   -0.0194086
   0.0900000   -0.0200313
   0.1000000   -0.0205455
   0.1100000   -0.0209646
   0.1200000   -0.0213061
   0.1300000   -0.0215756
   0.1400000   -0.0217773
   0.1500000   -0.0219266
   0.1600000   -0.0220321
   0.1700000   -0.0220896
   0.1800000   -0.0221013
