HN-973 F3J  Norbert Habbe
   1.0000000    0.0000000
   0.9990130    0.0001680
   0.9960570    0.0007340
   0.9911440    0.0017140
   0.9842920    0.0031390
   0.9755280    0.0049500
   0.9648880    0.0070540
   0.9524140    0.0094170
   0.9381530    0.0119400
   0.9221640    0.0146460
   0.9045080    0.0175260
   0.8852570    0.0205580
   0.8644840    0.0237170
   0.8422740    0.0269590
   0.8187120    0.0302560
   0.7938930    0.0335620
   0.7679130    0.0368490
   0.7408770    0.0400760
   0.7128900    0.0432240
   0.6840620    0.0462450
   0.6545080    0.0491270
   0.6243450    0.0518410
   0.5936910    0.0543480
   0.5626670    0.0566500
   0.5313950    0.0587070
   0.5000000    0.0605000
   0.4686050    0.0619860
   0.4373330    0.0631490
   0.4063090    0.0639670
   0.3756550    0.0644170
   0.3454920    0.0645050
   0.3159380    0.0641850
   0.2871100    0.0634800
   0.2591230    0.0623590
   0.2320870    0.0608330
   0.2061070    0.0589080
   0.1812880    0.0565860
   0.1577260    0.0538760
   0.1355160    0.0508050
   0.1147430    0.0473730
   0.0954920    0.0436200
   0.0778360    0.0395710
   0.0618470    0.0352680
   0.0475860    0.0307530
   0.0351120    0.0260630
   0.0244720    0.0212570
   0.0157080    0.0164540
   0.0088560    0.0117560
   0.0039430    0.0072710
   0.0009870    0.0033570
   0.0000000    0.0000000
   0.0009870   -0.0026830
   0.0039430   -0.0051810
   0.0088560   -0.0076840
   0.0157080   -0.0099680
   0.0244720   -0.0121010
   0.0351120   -0.0140490
   0.0475860   -0.0157230
   0.0618470   -0.0171680
   0.0778360   -0.0183570
   0.0954920   -0.0193080
   0.1147430   -0.0200390
   0.1355160   -0.0205330
   0.1577260   -0.0208400
   0.1812880   -0.0209460
   0.2061070   -0.0208720
   0.2320870   -0.0206390
   0.2591230   -0.0202530
   0.2871100   -0.0197420
   0.3159380   -0.0191070
   0.3454920   -0.0183570
   0.3756550   -0.0175170
   0.4063090   -0.0165830
   0.4373330   -0.0155690
   0.4686050   -0.0144860
   0.5000000   -0.0133240
   0.5313950   -0.0120810
   0.5626670   -0.0107160
   0.5936910   -0.0092320
   0.6243450   -0.0076570
   0.6545080   -0.0060670
   0.6840620   -0.0045270
   0.7128900   -0.0030720
   0.7408770   -0.0017360
   0.7679130   -0.0005410
   0.7938930    0.0004900
   0.8187120    0.0013460
   0.8422740    0.0020270
   0.8644840    0.0025310
   0.8852570    0.0028520
   0.9045080    0.0030060
   0.9221640    0.0029960
   0.9381530    0.0028400
   0.9524140    0.0025570
   0.9648880    0.0021660
   0.9755280    0.0017060
   0.9842920    0.0012170
   0.9911440    0.0007460
   0.9960570    0.0003560
   0.9990130    0.0000920
   1.0000000    0.0000000
