HN-979 HLG  Norbert Habbe
   1.0000000    0.0000000
   0.9990130    0.0001480
   0.9960570    0.0006160
   0.9911440    0.0014360
   0.9842920    0.0026280
   0.9755280    0.0041670
   0.9648880    0.0059900
   0.9524140    0.0080280
   0.9381530    0.0102430
   0.9221640    0.0126240
   0.9045080    0.0151750
   0.8852570    0.0178790
   0.8644840    0.0207040
   0.8422740    0.0236180
   0.8187120    0.0265870
   0.7938930    0.0295800
   0.7679130    0.0325590
   0.7408770    0.0354980
   0.7128900    0.0383710
   0.6840620    0.0411410
   0.6545080    0.0437820
   0.6243450    0.0462680
   0.5936910    0.0485690
   0.5626670    0.0506640
   0.5313950    0.0525250
   0.5000000    0.0541250
   0.4686050    0.0554440
   0.4373330    0.0564700
   0.4063090    0.0571830
   0.3756550    0.0575660
   0.3454920    0.0576190
   0.3159380    0.0573140
   0.2871100    0.0566600
   0.2591230    0.0556490
   0.2320870    0.0542800
   0.2061070    0.0525660
   0.1812880    0.0505060
   0.1577260    0.0481020
   0.1355160    0.0453780
   0.1147430    0.0423440
   0.0954920    0.0390190
   0.0778360    0.0354280
   0.0618470    0.0316030
   0.0475860    0.0275780
   0.0351120    0.0233910
   0.0244720    0.0191000
   0.0157080    0.0147890
   0.0088560    0.0105470
   0.0039430    0.0064920
   0.0009870    0.0028660
   0.0000000    0.0000000
   0.0009870   -0.0024510
   0.0039430   -0.0049330
   0.0088560   -0.0072990
   0.0157080   -0.0095250
   0.0244720   -0.0115950
   0.0351120   -0.0134660
   0.0475860   -0.0150910
   0.0618470   -0.0164820
   0.0778360   -0.0176350
   0.0954920   -0.0185550
   0.1147430   -0.0192530
   0.1355160   -0.0197190
   0.1577260   -0.0199790
   0.1812880   -0.0200350
   0.2061070   -0.0198990
   0.2320870   -0.0195890
   0.2591230   -0.0191130
   0.2871100   -0.0184970
   0.3159380   -0.0177470
   0.3454920   -0.0168740
   0.3756550   -0.0159040
   0.4063090   -0.0148490
   0.4373330   -0.0137250
   0.4686050   -0.0125500
   0.5000000   -0.0113280
   0.5313950   -0.0100790
   0.5626670   -0.0088140
   0.5936910   -0.0075450
   0.6243450   -0.0062870
   0.6545080   -0.0050630
   0.6840620   -0.0038960
   0.7128900   -0.0027970
   0.7408770   -0.0017890
   0.7679130   -0.0008810
   0.7938930   -0.0000890
   0.8187120    0.0005810
   0.8422740    0.0011240
   0.8644840    0.0015370
   0.8852570    0.0018210
   0.9045080    0.0019810
   0.9221640    0.0020160
   0.9381530    0.0019410
   0.9524140    0.0017630
   0.9648880    0.0015050
   0.9755280    0.0011920
   0.9842920    0.0008570
   0.9911440    0.0005330
   0.9960570    0.0002560
   0.9990130    0.0000690
   1.0000000    0.0000000
