HN 984	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001700
   0.9960600    0.0007600
   0.9911400    0.0017800
   0.9842900    0.0033000
   0.9755300    0.0052800
   0.9648900    0.0076500
   0.9524100    0.0103400
   0.9381500    0.0132600
   0.9221600    0.0164000
   0.9045100    0.0197600
   0.8852600    0.0233200
   0.8644800    0.0270600
   0.8422700    0.0309500
   0.8187100    0.0349500
   0.7938900    0.0390200
   0.7679100    0.0431300
   0.7408800    0.0472300
   0.7128900    0.0513000
   0.6840600    0.0552800
   0.6545100    0.0591500
   0.6243500    0.0628600
   0.5936900    0.0663600
   0.5626700    0.0696000
   0.5314000    0.0725400
   0.5000000    0.0751200
   0.4686100    0.0772900
   0.4373300    0.0790000
   0.4063100    0.0802400
   0.3756600    0.0809700
   0.3454900    0.0811800
   0.3159400    0.0808300
   0.2871100    0.0799400
   0.2591200    0.0785100
   0.2320900    0.0765600
   0.2061100    0.0741100
   0.1812900    0.0711700
   0.1577300    0.0677500
   0.1355200    0.0638900
   0.1147400    0.0595900
   0.0954900    0.0549000
   0.0778400    0.0498400
   0.0618500    0.0444700
   0.0475900    0.0388300
   0.0351100    0.0329700
   0.0244700    0.0269700
   0.0157100    0.0209400
   0.0088600    0.0150200
   0.0039400    0.0093500
   0.0009900    0.0042900
   0.0000000    0.0000000
   0.0009900   -0.0036900
   0.0039400   -0.0075300
   0.0088600   -0.0114100
   0.0157100   -0.0151100
   0.0244700   -0.0186800
   0.0351100   -0.0220400
   0.0475900   -0.0250900
   0.0618500   -0.0278600
   0.0778400   -0.0303000
   0.0954900   -0.0324300
   0.1147400   -0.0342400
   0.1355200   -0.0357200
   0.1577300   -0.0368900
   0.1812900   -0.0377600
   0.2061100   -0.0383100
   0.2320900   -0.0385800
   0.2591200   -0.0385600
   0.2871100   -0.0382700
   0.3159400   -0.0376900
   0.3454900   -0.0368100
   0.3756600   -0.0356500
   0.4063100   -0.0342300
   0.4373300   -0.0325800
   0.4686100   -0.0307600
   0.5000000   -0.0287900
   0.5314000   -0.0267000
   0.5626700   -0.0244600
   0.5936900   -0.0221100
   0.6243500   -0.0196700
   0.6545100   -0.0172200
   0.6840600   -0.0148300
   0.7128900   -0.0125300
   0.7408800   -0.0103600
   0.7679100   -0.0083400
   0.7938900   -0.0065100
   0.8187100   -0.0048800
   0.8422700   -0.0034400
   0.8644800   -0.0022300
   0.8852600   -0.0012300
   0.9045100   -0.0004300
   0.9221600    0.0001500
   0.9381500    0.0005500
   0.9524100    0.0007800
   0.9648900    0.0008600
   0.9755300    0.0008100
   0.9842900    0.0006700
   0.9911400    0.0004600
   0.9960600    0.0002400
   0.9990100    0.0000700
   1.0000000    0.0000000
