HS 522 F5D, F3F, F3B   Hartmut Siegmann
   1.0000000    0.0000000
   0.9933500    0.0002100
   0.9798500    0.0008600
   0.9640100    0.0018600
   0.9438600    0.0033800
   0.9182300    0.0055700
   0.8886900    0.0083600
   0.8530900    0.0119800
   0.8149500    0.0161400
   0.7695600    0.0214100
   0.7222200    0.0271100
   0.6741000    0.0329600
   0.6220700    0.0391200
   0.5716000    0.0448000
   0.5234700    0.0497600
   0.4741800    0.0542800
   0.4244900    0.0581800
   0.3752000    0.0611200
   0.3282500    0.0628800
   0.2816900    0.0634800
   0.2374800    0.0628000
   0.1970200    0.0609300
   0.1608100    0.0579800
   0.1278500    0.0539400
   0.0983700    0.0488900
   0.0725700    0.0429400
   0.0505900    0.0362900
   0.0331600    0.0293900
   0.0219100    0.0236000
   0.0138400    0.0182900
   0.0084600    0.0138600
   0.0040100    0.0091900
   0.0013700    0.0053300
   0.0002500    0.0025400
   0.0000000    0.0000000
   0.0002700   -0.0021500
   0.0017100   -0.0045700
   0.0050900   -0.0069000
   0.0105100   -0.0091400
   0.0175600   -0.0110800
   0.0279700   -0.0131100
   0.0401000   -0.0148100
   0.0545800   -0.0163300
   0.0743400   -0.0179200
   0.1056300   -0.0197600
   0.1414800   -0.0212100
   0.1814100   -0.0222900
   0.2249100   -0.0229800
   0.2715000   -0.0232500
   0.3206400   -0.0230900
   0.3717900   -0.0225500
   0.4243600   -0.0216500
   0.4777600   -0.0204300
   0.5313900   -0.0189600
   0.5846200   -0.0172900
   0.6368700   -0.0155100
   0.6875200   -0.0136900
   0.7360100   -0.0118600
   0.7817800   -0.0101100
   0.8243000   -0.0084300
   0.8630800   -0.0068700
   0.8976700   -0.0054500
   0.9289900   -0.0040400
   0.9534400   -0.0028400
   0.9722200   -0.0018300
   0.9861100   -0.0010000
   0.9945200   -0.0004400
   1.0000000    0.0000000
