md8135	F5B fast airfoils edumolfino@ciudad.com
   1.0000000    0.0002350
   0.9951277    0.0010371
   0.9856979    0.0023281
   0.9745260    0.0036349
   0.9626431    0.0049294
   0.9505292    0.0062132
   0.9383512    0.0074900
   0.9261623    0.0087589
   0.9139633    0.0100177
   0.9017514    0.0112736
   0.8895394    0.0125245
   0.8773225    0.0137734
   0.8651125    0.0150192
   0.8529075    0.0162571
   0.8406995    0.0174890
   0.8284975    0.0187148
   0.8162985    0.0199297
   0.8040975    0.0211366
   0.7919025    0.0223324
   0.7797135    0.0235153
   0.7675194    0.0246841
   0.7553254    0.0258410
   0.7431333    0.0269838
   0.7309322    0.0281147
   0.7187231    0.0292356
   0.7065140    0.0303484
   0.6943039    0.0314513
   0.6820848    0.0325462
   0.6698656    0.0336361
   0.6576535    0.0347179
   0.6454483    0.0357878
   0.6332432    0.0368457
   0.6210460    0.0378895
   0.6088618    0.0389154
   0.5966826    0.0399182
   0.5845063    0.0408990
   0.5723391    0.0418539
   0.5601827    0.0427777
   0.5480294    0.0436685
   0.5358730    0.0445263
   0.5237206    0.0453511
   0.5115752    0.0461379
   0.4994267    0.0468867
   0.4872742    0.0475985
   0.4751246    0.0482723
   0.4629800    0.0489051
   0.4508313    0.0494969
   0.4386786    0.0500496
   0.4265339    0.0505614
   0.4143981    0.0510272
   0.4022613    0.0514460
   0.3901194    0.0518188
   0.3779855    0.0521455
   0.3658605    0.0524213
   0.3537314    0.0526461
   0.3416003    0.0528198
   0.3294772    0.0529436
   0.3173610    0.0530113
   0.3052417    0.0530251
   0.2931314    0.0529838
   0.2810430    0.0528815
   0.2689686    0.0527132
   0.2569101    0.0524769
   0.2448844    0.0521626
   0.2328878    0.0517622
   0.2209060    0.0512688
   0.2089561    0.0506803
   0.1970461    0.0499858
   0.1851990    0.0491833
   0.1735907    0.0482865
   0.1630235    0.0473646
   0.1548065    0.0465742
   0.1496578    0.0460446
   0.1454083    0.0455891
   0.1411627    0.0451135
   0.1367870    0.0446031
   0.1324274    0.0440717
   0.1280997    0.0435202
   0.1237670    0.0429448
   0.1194333    0.0423453
   0.1151055    0.0417219
   0.1107807    0.0410734
   0.1064609    0.0403969
   0.1021451    0.0396904
   0.0978352    0.0389530
   0.0935303    0.0381845
   0.0892314    0.0373840
   0.0849384    0.0365515
   0.0806534    0.0356810
   0.0763763    0.0347714
   0.0721082    0.0338199
   0.0678501    0.0328264
   0.0636019    0.0317908
   0.0593647    0.0307092
   0.0551414    0.0295757
   0.0509330    0.0283861
   0.0467426    0.0271384
   0.0425691    0.0258298
   0.0384186    0.0244541
   0.0342950    0.0229994
   0.0302043    0.0214567
   0.0261484    0.0198199
   0.0221405    0.0180711
   0.0181964    0.0161842
   0.0143332    0.0141362
   0.0105808    0.0118911
   0.0099713    0.0114918
   0.0093669    0.0110844
   0.0087684    0.0106690
   0.0081760    0.0102436
   0.0075905    0.0098102
   0.0070110    0.0093678
   0.0064385    0.0089154
   0.0058740    0.0084540
   0.0053175    0.0079826
   0.0047700    0.0075012
   0.0042315    0.0070097
   0.0037039    0.0065083
   0.0031874    0.0059948
   0.0026868    0.0054673
   0.0022062    0.0049198
   0.0017516    0.0043493
   0.0013260    0.0037517
   0.0009353    0.0031221
   0.0006578    0.0026044
   0.0004142    0.0020676
   0.0002166    0.0015178
   0.0000000    0.0000000
   0.0000246   -0.0004010
   0.0000603   -0.0006201
   0.0001091   -0.0008381
   0.0001689   -0.0010532
   0.0002407   -0.0012643
   0.0003235   -0.0014714
   0.0004302   -0.0016995
   0.0005480   -0.0019216
   0.0006778   -0.0021378
   0.0008175   -0.0023479
   0.0009653   -0.0025521
   0.0011201   -0.0027502
   0.0023388   -0.0040066
   0.0040195   -0.0053544
   0.0062879   -0.0068548
   0.0094392   -0.0085621
   0.0139122   -0.0105449
   0.0201670   -0.0127625
   0.0283578   -0.0150372
   0.0379718   -0.0171453
   0.0484052   -0.0189384
   0.0593659   -0.0204189
   0.0706979   -0.0216469
   0.0823021   -0.0226761
   0.0940824   -0.0235615
   0.1059549   -0.0243190
   0.1179035   -0.0249716
   0.1298852   -0.0255312
   0.1419049   -0.0260029
   0.1539558   -0.0263986
   0.1660137   -0.0267223
   0.1780988   -0.0269760
   0.1902088   -0.0271717
   0.2023250   -0.0273115
   0.2144632   -0.0273983
   0.2266254   -0.0274410
   0.2387927   -0.0274458
   0.2509690   -0.0274117
   0.2631634   -0.0273445
   0.2753637   -0.0272483
   0.2875582   -0.0271241
   0.2997606   -0.0269690
   0.3119751   -0.0267888
   0.3241896   -0.0265857
   0.3364031   -0.0263585
   0.3486286   -0.0261084
   0.3608672   -0.0258422
   0.3731058   -0.0255611
   0.3853444   -0.0252640
   0.3975940   -0.0249528
   0.4098516   -0.0246327
   0.4221072   -0.0243036
   0.4343599   -0.0239655
   0.4466185   -0.0236164
   0.4588832   -0.0232613
   0.4711429   -0.0229002
   0.4833995   -0.0225301
   0.4956612   -0.0221520
   0.5079299   -0.0217688
   0.5201946   -0.0213807
   0.5324533   -0.0209866
   0.5447160   -0.0205835
   0.5569827   -0.0201764
   0.5692444   -0.0197643
   0.5814962   -0.0193442
   0.5937469   -0.0189131
   0.6059997   -0.0184739
   0.6182454   -0.0180248
   0.6304802   -0.0175637
   0.6427140   -0.0170865
   0.6549498   -0.0165954
   0.6671796   -0.0160902
   0.6794054   -0.0155681
   0.6916373   -0.0150290
   0.7038811   -0.0144778
   0.7161260   -0.0139167
   0.7283749   -0.0133456
   0.7406368   -0.0127664
   0.7529057   -0.0121863
   0.7651776   -0.0116072
   0.7774455   -0.0110291
   0.7897044   -0.0104550
   0.8019672   -0.0098869
   0.8142361   -0.0093208
   0.8264990   -0.0087577
   0.8387659   -0.0081986
   0.8510357   -0.0076405
   0.8633066   -0.0070814
   0.8755715   -0.0065223
   0.8878274   -0.0059581
   0.9000883   -0.0053880
   0.9123381   -0.0048129
   0.9245870   -0.0042288
   0.9368320   -0.0036376
   0.9490549   -0.0030355
   0.9612478   -0.0024163
   0.9733638   -0.0017770
   0.9850337   -0.0011443
   0.9949845   -0.0005697
   1.0000000   -0.0002350
