MG 08   (c)Marcel Guwang volet a 30%
   1.0000000    0.0000000
   0.9967000    0.0007000
   0.9871000    0.0013000
   0.9715000    0.0024000
   0.9504000    0.0041000
   0.9242000    0.0063000
   0.8936000    0.0091000
   0.8590000    0.0126000
   0.8209000    0.0169000
   0.7797000    0.0217000
   0.7360000    0.0270000
   0.6902000    0.0326000
   0.5970000    0.0439000
   0.5720000    0.0467000
   0.5437000    0.0498000
   0.4950000    0.0545000
   0.4440000    0.0584000
   0.3960000    0.0611000
   0.3473000    0.0626000
   0.3013000    0.0632000
   0.2580000    0.0625000
   0.2159000    0.0603000
   0.1774000    0.0571000
   0.1420000    0.0529000
   0.1102000    0.0478000
   0.0821000    0.0418000
   0.0579000    0.0352000
   0.0378000    0.0280000
   0.0219000    0.0205000
   0.0103000    0.0130000
   0.0029000    0.0059000
   0.0000000    0.0000000
   0.0028000   -0.0046000
   0.0117000   -0.0089000
   0.0258000   -0.0129000
   0.0450000   -0.0164000
   0.0691000   -0.0192000
   0.0978000   -0.0215000
   0.1311000   -0.0230000
   0.1685000   -0.0240000
   0.2097000   -0.0243000
   0.2543000   -0.0241000
   0.3019000   -0.0235000
   0.3518000   -0.0225000
   0.4037000   -0.0213000
   0.4567000   -0.0194000
   0.5105000   -0.0175000
   0.5690000   -0.0154000
   0.6175000   -0.0136000
   0.6695000   -0.0118000
   0.7197000   -0.0100000
   0.7640000   -0.0084000
   0.8122000   -0.0067000
   0.8533000   -0.0052000
   0.8902000   -0.0039000
   0.9225000   -0.0028000
   0.9496000   -0.0018000
   0.9713000   -0.0010000
   0.9870000   -0.0005000
   0.9967000   -0.0001000
   1.0000000    0.0000000
