MH 16	Martin Hepperle Designed for pylon racing
   1.0000000    0.0000000
   0.9595626    0.0084581
   0.9245929    0.0164564
   0.8936005    0.0239325
   0.8653177    0.0308401
   0.8386992    0.0371491
   0.8129237    0.0428457
   0.7873929    0.0479333
   0.7617327    0.0524295
   0.7357899    0.0563681
   0.7096305    0.0598014
   0.6834425    0.0627834
   0.6573980    0.0653684
   0.6316350    0.0675986
   0.6062614    0.0695120
   0.5813494    0.0711377
   0.5569388    0.0724989
   0.5330357    0.0736114
   0.5096130    0.0744833
   0.4866117    0.0751156
   0.4639548    0.0755051
   0.4415803    0.0756507
   0.4194431    0.0755545
   0.3975243    0.0752204
   0.3758177    0.0746555
   0.3543445    0.0738717
   0.3331406    0.0728820
   0.3122651    0.0717006
   0.2917958    0.0703496
   0.2718240    0.0688469
   0.2524325    0.0672118
   0.2336904    0.0654604
   0.2156517    0.0636005
   0.1983564    0.0616424
   0.1818315    0.0595890
   0.1660871    0.0574413
   0.1511231    0.0551944
   0.1369215    0.0528432
   0.1234543    0.0503777
   0.1106965    0.0477938
   0.0986272    0.0450916
   0.0872352    0.0422780
   0.0765157    0.0393681
   0.0664714    0.0363788
   0.0571106    0.0333371
   0.0484500    0.0302752
   0.0405137    0.0272320
   0.0333287    0.0242485
   0.0269189    0.0213659
   0.0212913    0.0186161
   0.0164388    0.0160242
   0.0123416    0.0136061
   0.0089654    0.0113707
   0.0062603    0.0093192
   0.0041643    0.0074433
   0.0025974    0.0057290
   0.0014725    0.0041522
   0.0007036    0.0026888
   0.0002268    0.0013128
   0.0000000    0.0000000
   0.0000013   -0.0012745
   0.0002306   -0.0025328
   0.0007101   -0.0037979
   0.0014817   -0.0050917
   0.0026095   -0.0064351
   0.0041796   -0.0078481
   0.0062790   -0.0093476
   0.0089877   -0.0109456
   0.0123678   -0.0126479
   0.0164694   -0.0144516
   0.0213263   -0.0163515
   0.0269586   -0.0183327
   0.0333734   -0.0203771
   0.0405635   -0.0224588
   0.0485049   -0.0245457
   0.0571706   -0.0266049
   0.0665365   -0.0286064
   0.0765856   -0.0305261
   0.0873100   -0.0323432
   0.0987064   -0.0340445
   0.1107801   -0.0356190
   0.1235419   -0.0370639
   0.1370128   -0.0383789
   0.1512180   -0.0395702
   0.1661853   -0.0406467
   0.1819329   -0.0416163
   0.1984607   -0.0424861
   0.2157587   -0.0432612
   0.2337999   -0.0439434
   0.2525444   -0.0445369
   0.2719380   -0.0450397
   0.2919118   -0.0454518
   0.3123827   -0.0457685
   0.3332597   -0.0459857
   0.3544647   -0.0460985
   0.3759387   -0.0461030
   0.3976457   -0.0459932
   0.4195646   -0.0457662
   0.4417015   -0.0454159
   0.4640754   -0.0449403
   0.4867313   -0.0443344
   0.5097312   -0.0435950
   0.5331522   -0.0427172
   0.5570531   -0.0416999
   0.5814612   -0.0405409
   0.6063703   -0.0392415
   0.6317405   -0.0378015
   0.6574998   -0.0362250
   0.6835400   -0.0345142
   0.7097231   -0.0326763
   0.7358771   -0.0307153
   0.7618139   -0.0286394
   0.7874674   -0.0264338
   0.8129907   -0.0240573
   0.8387579   -0.0214374
   0.8653671   -0.0184705
   0.8936395   -0.0150228
   0.9246204   -0.0109300
   0.9595771   -0.0059970
   1.0000000    0.0000000
