MH33  Martin Hepperle
   1.0000000    0.0000000
   0.9967699    0.0002885
   0.9872694    0.0012440
   0.9719386    0.0030068
   0.9512474    0.0055571
   0.9256659    0.0087751
   0.8956342    0.0124109
   0.8614924    0.0162749
   0.8236005    0.0201971
   0.7822987    0.0240577
   0.7380269    0.0278269
   0.6912752    0.0314549
   0.6425736    0.0348620
   0.5924522    0.0379585
   0.5414709    0.0406745
   0.4901798    0.0429604
   0.4391190    0.0447364
   0.3888584    0.0459428
   0.3399081    0.0465298
   0.2927882    0.0464476
   0.2479885    0.0456566
   0.2059393    0.0441168
   0.1670403    0.0418185
   0.1316518    0.0387619
   0.1000736    0.0349670
   0.0725657    0.0304841
   0.0493281    0.0253932
   0.0304707    0.0197943
   0.0161035    0.0138876
   0.0062263    0.0079129
   0.0009089    0.0023404
   0.0003394    0.0011802
   0.0000000    0.0000000
   0.0000205   -0.0010100
   0.0005209   -0.0019498
   0.0014714   -0.0029293
   0.0065429   -0.0062069
   0.0176149   -0.0105117
   0.0335968   -0.0145042
   0.0544085   -0.0180044
   0.0799398   -0.0209124
   0.1099809   -0.0232183
   0.1443017   -0.0248922
   0.1825722   -0.0259642
   0.2244124   -0.0264845
   0.2694124   -0.0264834
   0.3170922   -0.0260110
   0.3669418   -0.0251475
   0.4184213   -0.0239433
   0.4709406   -0.0224687
   0.5239098   -0.0207838
   0.5767189   -0.0189489
   0.6287780   -0.0170145
   0.6794471   -0.0150507
   0.7281361   -0.0130678
   0.7742752   -0.0111261
   0.8172843   -0.0092059
   0.8566734   -0.0072974
   0.8920725   -0.0053507
   0.9232016   -0.0034761
   0.9497009   -0.0018836
   0.9711203   -0.0007436
   0.9869401   -0.0001461
   0.9967000   -0.0000116
   1.0000000    0.0000000
