MH 52	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft
   1.0000000    0.0000000
   0.9998200    0.0000100
   0.9992700    0.0000200
   0.9983600    0.0000600
   0.9971000    0.0001000
   0.9955000    0.0001700
   0.9935500    0.0002600
   0.9912400    0.0003700
   0.9885900    0.0005100
   0.9856000    0.0006800
   0.9822700    0.0008900
   0.9786100    0.0011500
   0.9746300    0.0014400
   0.9703200    0.0017900
   0.9657000    0.0021800
   0.9607700    0.0026100
   0.9555300    0.0031200
   0.9500000    0.0036700
   0.9441900    0.0042700
   0.9380800    0.0049200
   0.9317100    0.0056300
   0.9250700    0.0063900
   0.9181800    0.0072000
   0.9110400    0.0080700
   0.9036700    0.0089700
   0.8960800    0.0099300
   0.8882800    0.0109100
   0.8802800    0.0119100
   0.8721000    0.0129500
   0.8637400    0.0139900
   0.8552100    0.0150200
   0.8465100    0.0160500
   0.8376500    0.0170800
   0.8286200    0.0180800
   0.8194300    0.0190700
   0.8100700    0.0200500
   0.8005500    0.0210200
   0.7908700    0.0219900
   0.7810500    0.0229300
   0.7710700    0.0238700
   0.7609400    0.0248200
   0.7506800    0.0257300
   0.7402800    0.0266400
   0.7297500    0.0275300
   0.7190900    0.0284200
   0.7083100    0.0293000
   0.6974200    0.0301500
   0.6864200    0.0310000
   0.6753100    0.0318300
   0.6641200    0.0326500
   0.6528400    0.0334500
   0.6414900    0.0342500
   0.6300700    0.0350300
   0.6185800    0.0357700
   0.6070400    0.0365000
   0.5954500    0.0372000
   0.5838100    0.0378800
   0.5721200    0.0385400
   0.5604100    0.0391800
   0.5486700    0.0397700
   0.5369100    0.0403400
   0.5251400    0.0408800
   0.5133600    0.0414100
   0.5015800    0.0418900
   0.4898000    0.0423300
   0.4780400    0.0427600
   0.4662800    0.0431300
   0.4545400    0.0434800
   0.4428100    0.0437700
   0.4311100    0.0440400
   0.4194300    0.0442600
   0.4078000    0.0444700
   0.3962100    0.0446300
   0.3846700    0.0447600
   0.3731800    0.0448600
   0.3617600    0.0449200
   0.3504100    0.0449500
   0.3391400    0.0449200
   0.3279500    0.0448900
   0.3168500    0.0448000
   0.3058500    0.0446800
   0.2949500    0.0445300
   0.2841500    0.0443400
   0.2734800    0.0441100
   0.2629200    0.0438400
   0.2525000    0.0435500
   0.2422000    0.0432100
   0.2320500    0.0428500
   0.2220500    0.0424500
   0.2121900    0.0420000
   0.2025000    0.0415400
   0.1929700    0.0410300
   0.1836200    0.0404800
   0.1744400    0.0399000
   0.1654400    0.0392800
   0.1566300    0.0386400
   0.1480300    0.0379500
   0.1396200    0.0372300
   0.1314100    0.0364800
   0.1234100    0.0357100
   0.1156200    0.0348900
   0.1080600    0.0340300
   0.1007200    0.0331500
   0.0936000    0.0322400
   0.0867200    0.0312800
   0.0800800    0.0303000
   0.0736700    0.0293000
   0.0675100    0.0282600
   0.0616000    0.0271800
   0.0559300    0.0260800
   0.0505200    0.0249400
   0.0453700    0.0237700
   0.0404700    0.0225800
   0.0358400    0.0213500
   0.0314600    0.0201000
   0.0273500    0.0188400
   0.0235000    0.0175600
   0.0199200    0.0162500
   0.0166200    0.0149600
   0.0136000    0.0136400
   0.0108800    0.0123300
   0.0084600    0.0110200
   0.0063600    0.0097200
   0.0045600    0.0084000
   0.0030700    0.0070500
   0.0018800    0.0056900
   0.0009900    0.0042900
   0.0003900    0.0028500
   0.0000600    0.0014300
   0.0000000    0.0000000
   0.0001900   -0.0014400
   0.0006400   -0.0028300
   0.0013500   -0.0042100
   0.0023400   -0.0055300
   0.0036000   -0.0068300
   0.0051400   -0.0081100
   0.0069800   -0.0093700
   0.0091100   -0.0106300
   0.0115200   -0.0118900
   0.0142000   -0.0131300
   0.0171500   -0.0143900
   0.0203600   -0.0156400
   0.0238400   -0.0168900
   0.0275700   -0.0181400
   0.0315700   -0.0193700
   0.0358200   -0.0205900
   0.0403300   -0.0217800
   0.0451000   -0.0229500
   0.0501200   -0.0241100
   0.0553900   -0.0252300
   0.0609200   -0.0263400
   0.0667000   -0.0274000
   0.0727300   -0.0284500
   0.0790200   -0.0294600
   0.0855500   -0.0304600
   0.0923100   -0.0314200
   0.0993200   -0.0323500
   0.1065600   -0.0332600
   0.1140400   -0.0341400
   0.1217400   -0.0349700
   0.1296600   -0.0357800
   0.1378100   -0.0365600
   0.1461800   -0.0373000
   0.1547500   -0.0380200
   0.1635500   -0.0387100
   0.1725300   -0.0393600
   0.1817200   -0.0399700
   0.1910900   -0.0405700
   0.2006500   -0.0411100
   0.2104000   -0.0416200
   0.2203200   -0.0421000
   0.2304200   -0.0425500
   0.2406800   -0.0429700
   0.2511000   -0.0433400
   0.2616900   -0.0436800
   0.2724200   -0.0439700
   0.2832900   -0.0442400
   0.2943000   -0.0444800
   0.3054500   -0.0446700
   0.3167200   -0.0448200
   0.3281000   -0.0449300
   0.3396100   -0.0450200
   0.3512200   -0.0450500
   0.3629200   -0.0450600
   0.3747200   -0.0450300
   0.3866000   -0.0449600
   0.3985700   -0.0448400
   0.4106000   -0.0446900
   0.4227000   -0.0445000
   0.4348500   -0.0442800
   0.4470600   -0.0440100
   0.4593000   -0.0437000
   0.4715700   -0.0433600
   0.4838800   -0.0429500
   0.4962100   -0.0425200
   0.5085400   -0.0420500
   0.5208800   -0.0415400
   0.5332200   -0.0409800
   0.5455400   -0.0404100
   0.5578400   -0.0397900
   0.5701200   -0.0391500
   0.5823600   -0.0384600
   0.5945400   -0.0377600
   0.6066800   -0.0370200
   0.6187700   -0.0362500
   0.6307900   -0.0354700
   0.6427300   -0.0346600
   0.6545900   -0.0338200
   0.6663500   -0.0329800
   0.6780200   -0.0321100
   0.6895900   -0.0312300
   0.7010400   -0.0303400
   0.7123600   -0.0294300
   0.7235600   -0.0284900
   0.7346300   -0.0275500
   0.7455500   -0.0266100
   0.7563100   -0.0256400
   0.7669200   -0.0246500
   0.7773700   -0.0236600
   0.7876500   -0.0226500
   0.7977400   -0.0216400
   0.8076400   -0.0206100
   0.8173400   -0.0195800
   0.8268400   -0.0185500
   0.8361300   -0.0174900
   0.8452100   -0.0164400
   0.8540800   -0.0153700
   0.8627500   -0.0142900
   0.8712000   -0.0132300
   0.8794400   -0.0121700
   0.8874800   -0.0111400
   0.8953000   -0.0101400
   0.9029100   -0.0091700
   0.9103000   -0.0082500
   0.9174500   -0.0073800
   0.9243500   -0.0065500
   0.9310100   -0.0057900
   0.9374100   -0.0050500
   0.9435500   -0.0043800
   0.9494100   -0.0037800
   0.9549900   -0.0032100
   0.9602800   -0.0027100
   0.9652600   -0.0022500
   0.9699300   -0.0018500
   0.9742900   -0.0014900
   0.9783300   -0.0011900
   0.9820400   -0.0009300
   0.9854100   -0.0007100
   0.9884400   -0.0005200
   0.9911300   -0.0003700
   0.9934700   -0.0002600
   0.9954500   -0.0001700
   0.9970800   -0.0001000
