MID 173c  FF(c)Slobodan Midic
   1.0000000    0.0060960
   0.9954334    0.0088182
   0.9877067    0.0123537
   0.9786210    0.0154319
   0.9679783    0.0182418
   0.9558897    0.0208575
   0.9427141    0.0233279
   0.9289716    0.0256412
   0.9149570    0.0277735
   0.9007755    0.0297187
   0.8863961    0.0315079
   0.8717906    0.0331910
   0.8570642    0.0348171
   0.8423597    0.0363582
   0.8276213    0.0378064
   0.8128129    0.0391844
   0.7979266    0.0405095
   0.7829902    0.0417986
   0.7680408    0.0430527
   0.7530895    0.0442707
   0.7381681    0.0454478
   0.7232748    0.0465699
   0.7083794    0.0476359
   0.6934851    0.0486480
   0.6785748    0.0496031
   0.6636125    0.0505131
   0.6486142    0.0513932
   0.6336189    0.0522413
   0.6186106    0.0530553
   0.6035533    0.0538443
   0.5884591    0.0546284
   0.5733618    0.0554204
   0.5582575    0.0562184
   0.5431672    0.0570105
   0.5280909    0.0577895
   0.5130317    0.0585505
   0.4979874    0.0592886
   0.4829391    0.0600016
   0.4678819    0.0606957
   0.4528246    0.0613687
   0.4377614    0.0620207
   0.4226921    0.0626578
   0.4076599    0.0632748
   0.3926916    0.0638549
   0.3777694    0.0643809
   0.3628532    0.0648470
   0.3479060    0.0652581
   0.3329398    0.0656291
   0.3180246    0.0659532
   0.3031784    0.0662083
   0.2883693    0.0663824
   0.2736111    0.0664714
   0.2589380    0.0664576
   0.2443569    0.0663207
   0.2298839    0.0660378
   0.2155118    0.0655860
   0.2012629    0.0649512
   0.1871819    0.0641024
   0.1732200    0.0630016
   0.1593532    0.0616419
   0.1456324    0.0600132
   0.1320716    0.0580895
   0.1186710    0.0558518
   0.1054524    0.0532882
   0.0924718    0.0503916
   0.0798194    0.0471541
   0.0675920    0.0435627
   0.0559147    0.0396143
   0.0449454    0.0353321
   0.0349642    0.0308301
   0.0263510    0.0263374
   0.0193878    0.0221170
   0.0140365    0.0183049
   0.0099961    0.0149451
   0.0069417    0.0120675
   0.0046452    0.0095700
   0.0029346    0.0073306
   0.0016750    0.0052874
   0.0007803    0.0034032
   0.0002197    0.0016451
   0.0000000    0.0000000
   0.0001423   -0.0015970
   0.0007166   -0.0031839
   0.0017439   -0.0046787
   0.0032022   -0.0060224
   0.0050974   -0.0071490
   0.0074696   -0.0080056
   0.0103998   -0.0086080
   0.0140739   -0.0090123
   0.0188339   -0.0092393
   0.0252190   -0.0092591
   0.0338790   -0.0089674
   0.0452069   -0.0082851
   0.0585318   -0.0072965
   0.0727766   -0.0061007
   0.0874194   -0.0047528
   0.1022682   -0.0033319
   0.1171880   -0.0018599
   0.1321428   -0.0003590
   0.1470876    0.0011770
   0.1620644    0.0027439
   0.1770422    0.0043329
   0.1920509    0.0059499
   0.2070937    0.0075758
   0.2221245    0.0092018
   0.2371122    0.0108138
   0.2520690    0.0123947
   0.2670088    0.0139447
   0.2819056    0.0154506
   0.2967954    0.0169046
   0.3117032    0.0183155
   0.3265980    0.0196815
   0.3414798    0.0209924
   0.3563837    0.0222543
   0.3712925    0.0234703
   0.3861824    0.0246342
   0.4010803    0.0257422
   0.4159891    0.0268021
   0.4308740    0.0278080
   0.4457349    0.0287500
   0.4606048    0.0296259
   0.4754738    0.0304418
   0.4903107    0.0311888
   0.5051367    0.0318567
   0.5199776    0.0324506
   0.5348126    0.0329735
   0.5496236    0.0334155
   0.5644456    0.0337734
   0.5793077    0.0340563
   0.5941917    0.0342753
   0.6090827    0.0344282
   0.6239888    0.0345201
   0.6388969    0.0345541
   0.6537870    0.0345260
   0.6686711    0.0344319
   0.6835562    0.0342729
   0.6984193    0.0340488
   0.7132565    0.0337497
   0.7280896    0.0333746
   0.7428998    0.0329225
   0.7576690    0.0323864
   0.7724212    0.0317574
   0.7871485    0.0310352
   0.8018207    0.0302141
   0.8164560    0.0292780
   0.8310463    0.0282289
   0.8455516    0.0270527
   0.8599879    0.0257316
   0.8743283    0.0242634
   0.8885277    0.0226222
   0.9025891    0.0207889
   0.9164346    0.0187496
   0.9300301    0.0164683
   0.9431967    0.0139689
   0.9555643    0.0112373
   0.9669570    0.0081835
   0.9773917    0.0046936
   0.9869046    0.0007834
   0.9952324   -0.0033290
   1.0000000   -0.0060960
