15GPV  Flapped scale sailplane (c)m_scherrer
   1.0000000    0.0005085
   0.9932018    0.0016123
   0.9801333    0.0037945
   0.9641272    0.0065582
   0.9475753    0.0094854
   0.9307564    0.0124918
   0.9137915    0.0155483
   0.8968907    0.0186408
   0.8800289    0.0217972
   0.8631833    0.0250367
   0.8463416    0.0283611
   0.8294631    0.0317716
   0.8125056    0.0352511
   0.7955481    0.0387466
   0.7786436    0.0422201
   0.7617501    0.0456686
   0.7448636    0.0490831
   0.7279950    0.0524575
   0.7111454    0.0557779
   0.6943087    0.0590344
   0.6774580    0.0622298
   0.6605882    0.0653672
   0.6437214    0.0684407
   0.6268805    0.0714411
   0.6100895    0.0743485
   0.5933454    0.0771388
   0.5766163    0.0798041
   0.5598980    0.0823394
   0.5431896    0.0847347
   0.5265001    0.0869810
   0.5098364    0.0890642
   0.4931826    0.0909765
   0.4765166    0.0927187
   0.4598345    0.0942940
   0.4431543    0.0957002
   0.4264999    0.0969234
   0.4098703    0.0979466
   0.3932235    0.0987658
   0.3765316    0.0993890
   0.3598246    0.0998313
   0.3431443    0.1000885
   0.3265200    0.1001516
   0.3099854    0.0999997
   0.2935366    0.0996057
   0.2771026    0.0989577
   0.2606554    0.0980627
   0.2442470    0.0969266
   0.2278934    0.0955355
   0.2115836    0.0938833
   0.1953685    0.0919701
   0.1793812    0.0897736
   0.1636496    0.0872280
   0.1481137    0.0842771
   0.1327534    0.0809011
   0.1176138    0.0770889
   0.1027667    0.0728144
   0.0882983    0.0680456
   0.0742924    0.0627554
   0.0608361    0.0569337
   0.0482445    0.0507153
   0.0370367    0.0443026
   0.0275550    0.0378925
   0.0199736    0.0318368
   0.0142239    0.0264306
   0.0099768    0.0217101
   0.0068512    0.0175816
   0.0045290    0.0139525
   0.0027822    0.0107319
   0.0014817    0.0078169
   0.0005744    0.0050986
   0.0000721    0.0025190
   0.0000000    0.0000000
   0.0004198   -0.0025754
   0.0014216   -0.0052244
   0.0029884   -0.0078148
   0.0051023   -0.0103756
   0.0078042   -0.0129640
   0.0112330   -0.0156540
   0.0156487   -0.0185168
   0.0214642   -0.0216169
   0.0292555   -0.0249906
   0.0395528   -0.0285605
   0.0523551   -0.0321325
   0.0669117   -0.0354279
   0.0824896   -0.0383133
   0.0985480   -0.0407660
   0.1148707   -0.0427950
   0.1314567   -0.0444792
   0.1482270   -0.0458905
   0.1650605   -0.0470548
   0.1819241   -0.0479792
   0.1988510   -0.0486927
   0.2158510   -0.0492401
   0.2329051   -0.0496477
   0.2499873   -0.0499282
   0.2670917   -0.0500868
   0.2842101   -0.0501334
   0.3013236   -0.0500680
   0.3184193   -0.0498855
   0.3354960   -0.0495900
   0.3525538   -0.0491815
   0.3695897   -0.0486590
   0.3865967   -0.0480195
   0.4035898   -0.0472540
   0.4205931   -0.0463534
   0.4376434   -0.0453279
   0.4547628   -0.0441994
   0.4719213   -0.0429890
   0.4890909   -0.0417056
   0.5062595   -0.0403512
   0.5234202   -0.0389238
   0.5405820   -0.0374243
   0.5577578   -0.0358589
   0.5749526   -0.0342315
   0.5921705   -0.0325521
   0.6094115   -0.0308318
   0.6266644   -0.0290774
   0.6439094   -0.0273070
   0.6611384   -0.0255267
   0.6783534   -0.0237453
   0.6955544   -0.0219649
   0.7127334   -0.0201914
   0.7298813   -0.0184340
   0.7469973   -0.0167065
   0.7640812   -0.0150200
   0.7811330   -0.0133875
   0.7981588   -0.0118170
   0.8151776   -0.0103174
   0.8321632   -0.0089008
   0.8491128   -0.0075902
   0.8660793   -0.0063926
   0.8830327   -0.0053040
   0.9000060   -0.0043305
   0.9170652   -0.0034420
   0.9341454   -0.0025925
   0.9510616   -0.0017559
   0.9672357   -0.0010196
   0.9815824   -0.0005828
   0.9933949   -0.0004709
   1.0000000   -0.0005085
