Pegase  coap
   1.0000000    0.0013398
   0.9860643    0.0040081
   0.9646255    0.0072063
   0.9431858    0.0114763
   0.9217452    0.0168181
   0.9003056    0.0210882
   0.8788659    0.0253582
   0.8574253    0.0307000
   0.8359850    0.0358275
   0.8145447    0.0408478
   0.7931046    0.0456537
   0.7716649    0.0499237
   0.7502252    0.0541937
   0.7287842    0.0600714
   0.7073441    0.0648774
   0.6859044    0.0691474
   0.6644647    0.0734174
   0.6430255    0.0771515
   0.6215845    0.0830292
   0.6001441    0.0881567
   0.5787039    0.0931770
   0.5572637    0.0979829
   0.5358241    0.1022529
   0.5143852    0.1054511
   0.4929460    0.1091852
   0.4715072    0.1123834
   0.4500688    0.1150457
   0.4286299    0.1182439
   0.4071920    0.1203703
   0.3750359    0.1224881
   0.3428807    0.1235341
   0.3107265    0.1232939
   0.2785728    0.1224106
   0.2464211    0.1191693
   0.2142706    0.1143203
   0.1928380    0.1098014
   0.1714054    0.1051754
   0.1499735    0.0997991
   0.1285416    0.0944228
   0.1071110    0.0874388
   0.0856812    0.0793830
   0.0642536    0.0686477
   0.0428258    0.0581267
   0.0321130    0.0514728
   0.0267565    0.0482531
   0.0214013    0.0434256
   0.0160462    0.0385981
   0.0106931    0.0310912
   0.0053401    0.0235842
   0.0026640    0.0192948
   0.0015952    0.0155426
   0.0000000    0.0000000
   0.0016124   -0.0058937
   0.0026866   -0.0087867
   0.0053685   -0.0117856
   0.0107327   -0.0182121
   0.0160952   -0.0224951
   0.0214560   -0.0246344
   0.0268163   -0.0262378
   0.0321771   -0.0283771
   0.0428967   -0.0301906
   0.0643353   -0.0331744
   0.0857740   -0.0362654
   0.1072113   -0.0376415
   0.1286494   -0.0399823
   0.1500871   -0.0418943
   0.1715248   -0.0438063
   0.1929626   -0.0457184
   0.2143998   -0.0469873
   0.2465554   -0.0485692
   0.2787101   -0.0490792
   0.3108650   -0.0498036
   0.3430195   -0.0500993
   0.3751739   -0.0501807
   0.4073281   -0.0500476
   0.4287634   -0.0489586
   0.4501995   -0.0487806
   0.4716349   -0.0478523
   0.4930703   -0.0467633
   0.5145052   -0.0451383
   0.5359394   -0.0426559
   0.5573742   -0.0409238
   0.5788090   -0.0391917
   0.6002443   -0.0381027
   0.6216792   -0.0364777
   0.6431133   -0.0337810
   0.6645477   -0.0316201
   0.6859822   -0.0294593
   0.7074167   -0.0272984
   0.7288511   -0.0251375
   0.7502865   -0.0240485
   0.7717209   -0.0218877
   0.7931554   -0.0197268
   0.8145899   -0.0175660
   0.8360243   -0.0154051
   0.8574584   -0.0127083
   0.8788933   -0.0110834
   0.9003277   -0.0089226
   0.9217635   -0.0083694
   0.9431984   -0.0067445
   0.9646329   -0.0045836
   0.9860682   -0.0034946
   1.0000000   -0.0013398
