SC17s profil voltige  Stephane Combet
   1.0000000    0.0000000
   0.9712179    0.0030206
   0.9250646    0.0071556
   0.8768314    0.0112798
   0.8275980    0.0154537
   0.7779746    0.0196375
   0.7282513    0.0237813
   0.6785780    0.0278550
   0.6290247    0.0317588
   0.5795315    0.0354727
   0.5302183    0.0389765
   0.4812053    0.0421705
   0.4325725    0.0449045
   0.3844299    0.0470387
   0.3370675    0.0484932
   0.2911054    0.0490980
   0.2475938    0.0486937
   0.2079227    0.0471905
   0.1735121    0.0448491
   0.1450619    0.0420596
   0.1221320    0.0391619
   0.1037121    0.0363857
   0.0887324    0.0338006
   0.0763327    0.0314064
   0.0658730    0.0292129
   0.0569133    0.0271599
   0.0491336    0.0252372
   0.0422840    0.0234049
   0.0361943    0.0216428
   0.0307347    0.0199309
   0.0258150    0.0182592
   0.0213454    0.0166077
   0.0172758    0.0149463
   0.0135762    0.0132350
   0.0102166    0.0114738
   0.0071871    0.0096028
   0.0045277    0.0075618
   0.0023183    0.0053010
   0.0007391    0.0027504
   0.0002695    0.0014001
   0.0000000    0.0000000
   0.0004110   -0.0028500
   0.0018119   -0.0053896
   0.0039927   -0.0076190
   0.0066734   -0.0095482
   0.0097341   -0.0112472
   0.0131447   -0.0127862
   0.0168854   -0.0142250
   0.0209760   -0.0156137
   0.0254466   -0.0169723
   0.0303573   -0.0183207
   0.0357879   -0.0196690
   0.0418286   -0.0210270
   0.0485993   -0.0224149
   0.0562801   -0.0238624
   0.0650710   -0.0253795
   0.0753019   -0.0269862
   0.0874130   -0.0287223
   0.1019942   -0.0305976
   0.1199156   -0.0326517
   0.1422272   -0.0348445
   0.1700490   -0.0370654
   0.2038710   -0.0390243
   0.2430330   -0.0402914
   0.2861648   -0.0405672
   0.3317764   -0.0399321
   0.3787978   -0.0384765
   0.4267591   -0.0363806
   0.4752502   -0.0338945
   0.5240312   -0.0310483
   0.5729821   -0.0279520
   0.6221130   -0.0246357
   0.6713238   -0.0211593
   0.7206146   -0.0175929
   0.7698554   -0.0140865
   0.8188763   -0.0106802
   0.8674772   -0.0074840
   0.9151481   -0.0045482
   0.9610391   -0.0020629
   0.9898098   -0.0005834
   1.0000000    0.0000000
