TP202-9% (c)Th Platon voltige par petit temps avec des planeurs de 2m50  3m
   1.0000000    0.0000600
   0.9958298    0.0006896
   0.9880896    0.0019287
   0.9802693    0.0032079
   0.9724090    0.0045071
   0.9645187    0.0058062
   0.9566284    0.0070854
   0.9487381    0.0083145
   0.9408178    0.0095237
   0.9328975    0.0107028
   0.9249672    0.0118520
   0.9170369    0.0130011
   0.9090966    0.0141303
   0.9011564    0.0152394
   0.8932161    0.0163486
   0.8852758    0.0174377
   0.8773355    0.0185269
   0.8693852    0.0195960
   0.8614450    0.0206552
   0.8535047    0.0216943
   0.8455544    0.0227335
   0.8376041    0.0237626
   0.8296539    0.0247618
   0.8217036    0.0257609
   0.8137433    0.0267600
   0.8057831    0.0277392
   0.7978328    0.0287083
   0.7898725    0.0296575
   0.7819123    0.0306066
   0.7739520    0.0315458
   0.7659818    0.0324649
   0.7580215    0.0333640
   0.7500512    0.0342732
   0.7420810    0.0351623
   0.7341107    0.0360415
   0.7261405    0.0369006
   0.7181702    0.0377598
   0.7102000    0.0385989
   0.7022197    0.0394380
   0.6942495    0.0402472
   0.6862692    0.0410463
   0.6782890    0.0418454
   0.6703087    0.0426146
   0.6623285    0.0433937
   0.6543482    0.0441429
   0.6463580    0.0448920
   0.6383778    0.0456211
   0.6303975    0.0463303
   0.6224073    0.0470394
   0.6144170    0.0477285
   0.6064268    0.0484077
   0.5984366    0.0490668
   0.5904463    0.0497159
   0.5824461    0.0503451
   0.5744459    0.0509742
   0.5664557    0.0515733
   0.5584554    0.0521625
   0.5504552    0.0527416
   0.5424550    0.0532907
   0.5344548    0.0538299
   0.5264546    0.0543590
   0.5184443    0.0548681
   0.5104441    0.0553573
   0.5024439    0.0558164
   0.4944337    0.0562755
   0.4864235    0.0567046
   0.4784133    0.0571238
   0.4704031    0.0575229
   0.4623929    0.0578920
   0.4543827    0.0582411
   0.4463725    0.0585703
   0.4383623    0.0588894
   0.4303421    0.0591785
   0.4223319    0.0594476
   0.4143117    0.0596968
   0.4063015    0.0599059
   0.3982814    0.0601050
   0.3902612    0.0602741
   0.3822510    0.0604233
   0.3742308    0.0605424
   0.3662207    0.0606415
   0.3582005    0.0607006
   0.3501803    0.0607497
   0.3421602    0.0607589
   0.3341500    0.0607380
   0.3261298    0.0606971
   0.3181097    0.0606262
   0.3100995    0.0605253
   0.3020894    0.0603744
   0.2940693    0.0602036
   0.2860591    0.0599927
