TP210-10%  (c)Th Platon grands planeurs polyvalents gratte et voltige
   1.0000000    0.0001200
   0.9957996    0.0007482
   0.9880787    0.0019448
   0.9801278    0.0032114
   0.9720669    0.0045379
   0.9640060    0.0058844
   0.9559451    0.0072209
   0.9478942    0.0085374
   0.9398433    0.0098239
   0.9317824    0.0110804
   0.9237016    0.0123169
   0.9156207    0.0135434
   0.9075299    0.0147499
   0.8994390    0.0159564
   0.8913382    0.0171429
   0.8832473    0.0183294
   0.8751565    0.0194958
   0.8670456    0.0206623
   0.8589448    0.0218188
   0.8508640    0.0229553
   0.8427832    0.0240818
   0.8347123    0.0252083
   0.8266115    0.0263148
   0.8185007    0.0274312
   0.8103899    0.0285277
   0.8022891    0.0296142
   0.7941783    0.0306807
   0.7860575    0.0317471
   0.7779467    0.0328136
   0.7698359    0.0338601
   0.7617352    0.0348966
   0.7536344    0.0359130
   0.7455336    0.0369395
   0.7374228    0.0379360
   0.7293121    0.0389325
   0.7212013    0.0399189
   0.7130806    0.0408854
   0.7049598    0.0418419
   0.6968291    0.0427983
   0.6887283    0.0437248
   0.6806076    0.0446513
   0.6724969    0.0455677
   0.6643762    0.0464642
   0.6562955    0.0473407
   0.6482048    0.0482071
   0.6401140    0.0490736
   0.6319734    0.0499101
   0.6238327    0.0507465
   0.6156920    0.0515730
   0.6075713    0.0523794
   0.5994506    0.0531559
   0.5913200    0.0539323
   0.5831893    0.0546888
   0.5750586    0.0554352
   0.5669180    0.0561617
   0.5587774    0.0568581
   0.5506267    0.0575546
   0.5425061    0.0582210
   0.5343555    0.0588675
   0.5262249    0.0595039
   0.5181043    0.0601004
   0.5099537    0.0606868
   0.5018131    0.0612533
   0.4936626    0.0618097
   0.4855120    0.0623361
   0.4773815    0.0628326
   0.4692209    0.0633090
   0.4610704    0.0637654
   0.4529199    0.0641919
   0.4447694    0.0645983
   0.4366289    0.0649647
   0.4284584    0.0653211
   0.4203180    0.0656376
   0.4121575    0.0659340
   0.4040071    0.0662004
   0.3958466    0.0664268
   0.3877062    0.0666333
   0.3795458    0.0668097
   0.3713954    0.0669561
   0.3632550    0.0670525
   0.3550847    0.0671289
   0.3469343    0.0671753
   0.3387940    0.0671818
   0.3306437    0.0671482
   0.3224934    0.0670846
   0.3143531    0.0669710
   0.3061929    0.0668374
   0.2980626    0.0666638
   0.2899124    0.0664402
   0.2817722    0.0661866
   0.2736420    0.0658830
   0.2655118    0.0655395
   0.2573716    0.0651559
   0.2492515    0.0647223
   0.2411214    0.0642487
   0.2330013    0.0637351
   0.2249012    0.0631615
   0.2167912    0.0625379
   0.2086711    0.0618743
   0.2005911    0.0611707
   0.1925011    0.0603871
   0.1844112    0.0595635
   0.1763412    0.0586799
   0.1682913    0.0577264
   0.1602315    0.0567128
   0.1522016    0.0556392
   0.1441818    0.0544856
   0.1361620    0.0532720
   0.1281823    0.0519785
   0.1202226    0.0505949
   0.1122729    0.0491214
   0.1043533    0.0475578
   0.0964737    0.0459043
   0.0886141    0.0441308
   0.0808246    0.0422473
   0.0730652    0.0402138
   0.0653659    0.0380603
   0.0577466    0.0357368
   0.0502374    0.0332534
   0.0428283    0.0305401
   0.0355493    0.0276167
   0.0285004    0.0244535
   0.0217216    0.0209704
   0.0153231    0.0171774
   0.0097546    0.0131548
   0.0050762    0.0091126
   0.0024174    0.0061413
   0.0012483    0.0039107
   0.0006891    0.0022104
   0.0002996    0.0009302
   0.0000000    0.0000000
   0.0001504   -0.0008700
   0.0004909   -0.0019999
   0.0009816   -0.0034497
   0.0020124   -0.0052693
   0.0042934   -0.0074484
   0.0085048   -0.0101467
   0.0143763   -0.0129442
   0.0212477   -0.0155213
   0.0285289   -0.0177482
   0.0360501   -0.0196549
   0.0437611   -0.0213116
   0.0515621   -0.0227682
   0.0594630   -0.0240648
   0.0674138   -0.0252213
   0.0753746   -0.0262579
   0.0833753   -0.0271644
   0.0914360   -0.0279809
   0.0995066   -0.0287374
   0.1075472   -0.0294039
   0.1156578   -0.0300003
   0.1237484   -0.0305268
   0.1318689   -0.0310032
   0.1400094   -0.0314497
   0.1481199   -0.0318361
   0.1562604   -0.0321725
   0.1644009   -0.0324790
   0.1725413   -0.0327454
   0.1806817   -0.0329718
   0.1888421   -0.0331582
   0.1969925   -0.0333147
   0.2051529   -0.0334611
   0.2133033   -0.0335675
   0.2214637   -0.0336439
   0.2296240   -0.0336903
   0.2378043   -0.0337167
   0.2459547   -0.0337231
   0.2541050   -0.0336995
   0.2622453   -0.0336860
   0.2703856   -0.0336224
   0.2785459   -0.0335588
   0.2866962   -0.0334652
   0.2948665   -0.0333616
   0.3030367   -0.0332180
   0.3112170   -0.0330744
   0.3193872   -0.0329208
   0.3275475   -0.0327472
   0.3357277   -0.0325436
   0.3439080   -0.0323400
   0.3520782   -0.0321264
   0.3602484   -0.0318928
   0.3684186   -0.0316392
   0.3765989   -0.0313856
   0.3847691   -0.0311119
   0.3929293   -0.0308283
   0.4010894   -0.0305147
   0.4092596   -0.0302011
   0.4174098   -0.0298975
   0.4255600   -0.0295539
   0.4337302   -0.0292203
   0.4418904   -0.0288767
   0.4500605   -0.0285131
   0.4582307   -0.0281495
   0.4663909   -0.0277759
   0.4745510   -0.0273923
   0.4827212   -0.0270087
   0.4908813   -0.0266051
   0.4990515   -0.0261915
   0.5072216   -0.0257779
   0.5153817   -0.0253542
   0.5235419   -0.0249106
   0.5317120   -0.0244670
   0.5398621   -0.0240134
   0.5480323   -0.0235498
   0.5562024   -0.0230762
   0.5643425   -0.0225826
   0.5724926   -0.0220790
   0.5806327   -0.0215754
   0.5887828   -0.0210518
   0.5969229   -0.0205182
   0.6050730   -0.0199746
   0.6132130   -0.0194210
   0.6213631   -0.0188574
   0.6295232   -0.0182937
   0.6376633   -0.0177201
   0.6458033   -0.0171465
   0.6539434   -0.0165729
   0.6621035   -0.0159893
   0.6702536   -0.0154057
   0.6784236   -0.0148321
   0.6865937   -0.0142485
   0.6947538   -0.0136749
   0.7029038   -0.0131012
   0.7110639   -0.0125276
   0.7192240   -0.0119540
   0.7273741   -0.0113904
   0.7355141   -0.0108268
   0.7436442   -0.0102732
   0.7517843   -0.0097196
   0.7599344   -0.0091760
   0.7680845   -0.0086424
   0.7762146   -0.0081288
   0.7843147   -0.0075952
   0.7924248   -0.0070916
   0.8005449   -0.0065880
   0.8086750   -0.0060944
   0.8168351   -0.0056108
