TP66S  voltige VTPR
   1.0000000    0.0000700
   0.9951800    0.0006297
   0.9858399    0.0018092
   0.9753798    0.0031585
   0.9646397    0.0044879
   0.9538897    0.0057772
   0.9431096    0.0070466
   0.9322695    0.0083059
   0.9213994    0.0095553
   0.9105194    0.0107946
   0.8996293    0.0120340
   0.8887392    0.0132633
   0.8778491    0.0144927
   0.8669591    0.0157120
   0.8560590    0.0169214
   0.8451689    0.0181207
   0.8342688    0.0193201
   0.8233688    0.0205194
   0.8124687    0.0216987
   0.8015686    0.0228781
   0.7906786    0.0240374
   0.7797785    0.0251968
   0.7688684    0.0263461
   0.7579584    0.0274855
   0.7470483    0.0286148
   0.7361382    0.0297342
   0.7252382    0.0308435
   0.7143281    0.0319429
   0.7034180    0.0330222
   0.6924980    0.0340916
   0.6815879    0.0351509
   0.6706678    0.0362002
   0.6597578    0.0372296
   0.6488377    0.0382389
   0.6379176    0.0392383
   0.6269976    0.0402176
   0.6160775    0.0411770
   0.6051675    0.0421163
   0.5942474    0.0430257
   0.5833274    0.0439050
   0.5724073    0.0447543
   0.5614873    0.0455837
   0.5505672    0.0463730
   0.5396472    0.0471424
   0.5287271    0.0478717
   0.5178071    0.0485811
   0.5068870    0.0492604
   0.4959670    0.0499098
   0.4850470    0.0505291
   0.4741169    0.0511184
   0.4632069    0.0516878
   0.4522769    0.0522171
   0.4413568    0.0527165
   0.4304468    0.0531758
   0.4195268    0.0536152
   0.4086068    0.0540145
   0.3976967    0.0543739
   0.3867767    0.0547032
   0.3758667    0.0549826
   0.3649567    0.0552219
   0.3540467    0.0554112
   0.3431467    0.0555606
   0.3322467    0.0556699
   0.3213567    0.0557193
   0.3104567    0.0557186
   0.2995767    0.0556680
   0.2886867    0.0555673
   0.2778167    0.0554067
   0.2669467    0.0551860
   0.2560867    0.0549054
   0.2452367    0.0545547
   0.2343968    0.0541341
   0.2235568    0.0536434
   0.2127368    0.0530728
   0.2019369    0.0524321
   0.1911369    0.0517015
   0.1803669    0.0508808
   0.1696170    0.0499702
   0.1588871    0.0489495
   0.1481871    0.0478289
   0.1375172    0.0465783
   0.1268773    0.0452176
   0.1162974    0.0437070
   0.1057675    0.0420563
   0.0952976    0.0402357
   0.0848977    0.0382351
   0.0746178    0.0360445
   0.0644580    0.0336239
   0.0544781    0.0309533
   0.0447383    0.0280127
   0.0353685    0.0248121
   0.0265487    0.0213016
   0.0186589    0.0175611
   0.0123592    0.0139607
   0.0079193    0.0109205
   0.0049595    0.0084703
   0.0029696    0.0064802
   0.0016197    0.0048501
   0.0007098    0.0032600
   0.0001599    0.0012400
   0.0000000    0.0000000
   0.0000000   -0.0001200
   0.0002700   -0.0008100
   0.0009401   -0.0021899
   0.0020202   -0.0036999
   0.0036303   -0.0051498
   0.0059404   -0.0067196
   0.0092805   -0.0085694
   0.0142507   -0.0108391
   0.0212608   -0.0133887
   0.0298210   -0.0158382
   0.0392611   -0.0180176
   0.0492012   -0.0199370
   0.0594313   -0.0216164
   0.0698114   -0.0230458
   0.0803315   -0.0242952
   0.0909415   -0.0253745
   0.1016116   -0.0263239
   0.1123216   -0.0271433
   0.1230717   -0.0278526
   0.1338617   -0.0284720
   0.1446817   -0.0290113
   0.1555218   -0.0294607
   0.1663718   -0.0298500
   0.1772318   -0.0301694
   0.1881118   -0.0304187
   0.1990018   -0.0306181
   0.2099118   -0.0307674
   0.2208219   -0.0308668
   0.2317319   -0.0309261
   0.2426419   -0.0309354
   0.2535719   -0.0309048
   0.2645118   -0.0308441
   0.2754418   -0.0307435
   0.2863818   -0.0306028
   0.2973218   -0.0304422
   0.3082618   -0.0302415
   0.3192118   -0.0300208
   0.3301618   -0.0297602
   0.3411118   -0.0294795
   0.3520717   -0.0291789
   0.3630217   -0.0288482
   0.3739717   -0.0284976
   0.3849317   -0.0281169
   0.3958917   -0.0277162
   0.4068516   -0.0273056
   0.4178116   -0.0268649
   0.4287716   -0.0264143
   0.4397316   -0.0259536
   0.4506915   -0.0254830
   0.4616515   -0.0249923
   0.4726115   -0.0244916
   0.4835614   -0.0239710
   0.4945214   -0.0234403
   0.5054814   -0.0228997
   0.5164413   -0.0223590
   0.5273913   -0.0217984
   0.5383313   -0.0212177
   0.5492812   -0.0206370
   0.5602212   -0.0200364
   0.5711712   -0.0194157
   0.5821211   -0.0187851
   0.5930611   -0.0181444
   0.6040110   -0.0174838
   0.6149610   -0.0168031
   0.6259210   -0.0161224
   0.6368809   -0.0154318
   0.6478509   -0.0147411
   0.6588208   -0.0140405
   0.6698008   -0.0133498
   0.6807708   -0.0126492
   0.6917507   -0.0119585
   0.7027307   -0.0112678
   0.7137106   -0.0105872
   0.7246906   -0.0099065
   0.7356606   -0.0092459
   0.7466305   -0.0085852
   0.7576005   -0.0079345
   0.7685604   -0.0072939
   0.7795204   -0.0066732
   0.7904904   -0.0060726
   0.8014503   -0.0054819
   0.8124003   -0.0049113
   0.8233503   -0.0043506
   0.8343102   -0.0038199
   0.8452602   -0.0032993
   0.8562002   -0.0028086
   0.8671401   -0.0023480
   0.8780701   -0.0018973
   0.8890001   -0.0014867
   0.8999201   -0.0011060
   0.9108400   -0.0007653
   0.9217500   -0.0004647
   0.9326400   -0.0002040
   0.9435200    0.0000166
   0.9544200    0.0002073
   0.9650900    0.0003479
   0.9755700    0.0003685
   0.9858100    0.0002391
   0.9951400    0.0000397
   1.0000000   -0.0000700
